# sensor:magnetometer
# Requested Sample Rate: 10 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
21:42:53:546,29.04,-2.65,-30.70,42.34
21:42:53:626,28.68,-3.05,-30.76,42.17
21:42:53:706,28.89,-2.94,-30.91,42.41
21:42:53:786,28.90,-3.57,-30.83,42.41
21:42:53:946,29.06,-3.14,-30.93,42.55
21:42:54:026,28.74,-3.31,-31.09,42.47
21:42:54:106,28.89,-2.92,-31.43,42.79
21:42:54:186,28.68,-3.06,-31.26,42.53
21:42:54:346,28.65,-3.45,-30.94,42.31
21:42:54:426,28.66,-3.54,-30.52,42.02
21:42:54:506,28.84,-3.34,-30.40,42.04
21:42:54:586,28.76,-3.68,-30.73,42.25
21:42:54:746,28.76,-3.32,-30.82,42.28
21:42:54:826,28.62,-3.16,-31.01,42.32
21:42:54:906,28.83,-3.18,-30.72,42.25
21:42:54:986,29.15,-3.23,-30.66,42.42
21:42:55:146,28.51,-3.44,-30.77,42.09
21:42:55:226,28.68,-3.33,-30.66,42.12
21:42:55:306,28.62,-3.44,-31.21,42.48
21:42:55:386,28.77,-3.12,-31.02,42.42
21:42:55:546,28.73,-3.50,-30.96,42.38
21:42:55:626,28.52,-3.39,-31.13,42.36
21:42:55:706,28.54,-3.38,-30.60,41.98
21:42:55:786,28.89,-3.12,-30.90,42.42
21:42:55:946,28.82,-3.37,-30.96,42.43
21:42:56:026,28.55,-3.29,-30.74,42.08
21:42:56:106,28.82,-3.09,-30.84,42.32
21:42:56:186,28.76,-3.28,-30.95,42.37
21:42:56:346,28.78,-3.21,-30.65,42.16
21:42:56:426,28.62,-3.15,-31.00,42.31
21:42:56:506,28.83,-3.25,-31.00,42.46
21:42:56:586,28.94,-3.37,-30.59,42.24
21:42:56:746,28.83,-3.14,-31.15,42.56
21:42:56:826,28.67,-3.04,-31.02,42.35
21:42:56:906,28.69,-3.11,-31.20,42.50
21:42:56:986,28.56,-3.59,-30.98,42.29
21:42:57:146,29.04,-3.14,-30.72,42.39
21:42:57:226,28.80,-3.22,-30.90,42.37
21:42:57:306,28.80,-3.28,-31.07,42.50
21:42:57:386,29.08,-2.71,-31.18,42.73
21:42:57:546,28.89,-3.20,-31.04,42.52
21:42:57:626,28.76,-3.14,-31.22,42.56
21:42:57:706,28.83,-3.17,-31.22,42.61
21:42:57:786,28.66,-3.12,-30.95,42.30
21:42:57:946,28.49,-3.31,-30.83,42.11
21:42:58:026,28.96,-3.05,-31.05,42.57
21:42:58:106,29.01,-2.93,-30.66,42.31
21:42:58:186,28.90,-3.00,-31.01,42.50
21:42:58:346,28.98,-3.06,-31.13,42.64
21:42:58:426,28.91,-3.01,-31.10,42.57
21:42:58:506,29.00,-3.10,-30.94,42.52
21:42:58:586,28.88,-3.20,-31.07,42.54
21:42:58:746,28.87,-3.45,-30.76,42.32
21:42:58:826,28.78,-3.57,-31.11,42.53
21:42:58:906,28.87,-3.07,-31.10,42.54
21:42:58:986,28.65,-3.21,-30.85,42.22
21:42:59:146,28.90,-3.18,-31.01,42.51
21:42:59:226,28.71,-3.23,-30.83,42.25
21:42:59:306,28.67,-3.06,-31.09,42.40
21:42:59:386,28.91,-3.06,-30.85,42.40
21:42:59:546,28.66,-3.39,-30.87,42.25
21:42:59:626,28.78,-3.37,-30.76,42.26
21:42:59:706,28.65,-3.22,-30.87,42.23
21:42:59:786,28.63,-3.43,-31.07,42.39
21:42:59:946,28.78,-3.29,-31.02,42.45
21:43:00:026,28.85,-3.28,-31.22,42.64
21:43:00:106,28.65,-3.18,-30.79,42.18
21:43:00:186,28.89,-3.07,-30.91,42.42
21:43:00:346,28.91,-3.31,-30.84,42.40
21:43:00:426,28.67,-3.50,-30.93,42.32
21:43:00:506,28.71,-3.44,-30.78,42.23
21:43:00:586,28.78,-3.42,-30.72,42.23
21:43:00:746,28.90,-3.50,-30.60,42.23
21:43:00:826,28.65,-3.42,-30.98,42.33
21:43:00:906,28.82,-3.17,-31.23,42.61
21:43:00:986,28.82,-3.26,-31.00,42.45
21:43:01:146,28.74,-3.44,-30.85,42.31
21:43:01:226,28.72,-3.36,-31.05,42.43
21:43:01:306,28.95,-3.18,-30.61,42.25
21:43:01:386,28.49,-3.50,-30.70,42.02
21:43:01:546,28.62,-3.22,-30.82,42.18
21:43:01:626,28.79,-3.16,-31.06,42.47
21:43:01:706,28.90,-3.43,-30.96,42.49
21:43:01:786,28.80,-3.46,-31.01,42.47
21:43:01:946,28.45,-3.32,-30.57,41.89
