# sensor:magnetometer
# Requested Sample Rate: 15 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:46:35:282,-24.05,7.14,-47.06,53.32
11:46:35:322,-24.17,7.04,-46.74,53.09
11:46:35:402,-24.12,6.99,-47.42,53.66
11:46:35:482,-24.13,6.81,-47.14,53.39
11:46:35:522,-24.31,6.53,-46.80,53.14
11:46:35:602,-24.12,6.75,-46.91,53.18
11:46:35:682,-24.19,6.62,-46.90,53.18
11:46:35:722,-24.08,6.67,-46.73,52.99
11:46:35:802,-24.34,6.54,-46.82,53.18
11:46:35:882,-24.12,6.34,-47.01,53.21
11:46:35:922,-24.20,6.61,-46.90,53.19
11:46:36:002,-24.28,6.64,-46.67,53.02
11:46:36:082,-24.13,6.76,-46.47,52.80
11:46:36:122,-23.96,6.83,-46.99,53.19
11:46:36:202,-24.51,6.11,-46.57,52.98
11:46:36:282,-24.38,6.58,-46.56,52.96
11:46:36:322,-24.34,6.43,-46.53,52.90
11:46:36:402,-24.41,6.54,-46.42,52.85
11:46:36:482,-23.94,6.54,-46.75,52.93
11:46:36:522,-23.75,6.80,-46.68,52.81
11:46:36:602,-24.47,6.39,-46.97,53.35
11:46:36:682,-24.62,6.31,-46.45,52.94
11:46:36:722,-24.41,6.32,-46.60,52.99
11:46:36:802,-24.14,6.62,-46.93,53.19
11:46:36:882,-24.36,6.26,-46.58,52.94
11:46:36:962,-24.06,6.59,-47.13,53.32
11:46:37:002,-24.46,6.55,-46.80,53.21
11:46:37:082,-24.39,6.53,-46.51,52.92
11:46:37:122,-24.35,6.49,-46.49,52.88
11:46:37:202,-24.16,6.38,-46.53,52.81
11:46:37:282,-24.07,6.64,-46.08,52.41
11:46:37:322,-24.49,7.04,-46.64,53.15
11:46:37:402,-24.57,6.66,-46.29,52.83
11:46:37:482,-24.28,6.53,-46.40,52.77
11:46:37:522,-24.25,6.31,-46.86,53.14
11:46:37:602,-24.63,6.30,-46.13,52.67
11:46:37:682,-24.27,6.47,-46.68,53.00
11:46:37:722,-24.39,6.22,-46.24,52.64
11:46:37:802,-24.39,6.28,-46.60,52.97
11:46:37:882,-24.40,6.55,-46.18,52.64
11:46:37:922,-24.22,6.67,-46.15,52.55
11:46:38:002,-24.55,6.53,-46.99,53.42
11:46:38:082,-24.34,6.32,-47.01,53.31
11:46:38:122,-24.20,6.87,-46.87,53.20
11:46:38:202,-24.28,6.56,-46.67,53.01
11:46:38:282,-24.22,6.56,-46.53,52.86
11:46:38:322,-24.19,7.05,-46.84,53.18
11:46:38:402,-24.63,6.66,-46.58,53.11
11:46:38:482,-24.31,6.23,-46.76,53.07
11:46:38:522,-24.13,6.54,-46.99,53.23
11:46:38:602,-24.42,6.17,-46.88,53.22
11:46:38:682,-24.14,6.19,-46.58,52.83
11:46:38:722,-24.13,6.84,-46.98,53.26
11:46:38:802,-24.66,6.64,-46.37,52.94
11:46:38:882,-24.41,5.95,-46.52,52.87
