# sensor:magnetometer
# Requested Sample Rate: 25 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:51:08:647,-23.56,6.16,-45.88,51.95
11:51:08:687,-23.41,6.23,-46.49,52.43
11:51:08:727,-23.89,6.17,-46.10,52.29
11:51:08:767,-23.69,6.10,-45.97,52.07
11:51:08:807,-23.86,5.90,-46.03,52.18
11:51:08:847,-23.85,6.28,-46.20,52.37
11:51:08:887,-24.11,6.10,-46.01,52.30
11:51:08:927,-23.72,6.11,-46.07,52.17
11:51:08:967,-23.62,6.27,-45.86,51.96
11:51:09:007,-23.80,6.08,-45.68,51.86
11:51:09:047,-23.67,6.09,-45.53,51.67
11:51:09:087,-24.06,6.11,-46.15,52.40
11:51:09:127,-23.89,6.61,-46.14,52.38
11:51:09:167,-23.78,6.25,-45.84,52.01
11:51:09:207,-23.79,6.10,-45.69,51.87
11:51:09:247,-23.79,5.97,-45.75,51.91
11:51:09:287,-23.77,5.99,-45.53,51.71
11:51:09:327,-23.56,5.80,-46.08,52.08
11:51:09:367,-24.01,6.04,-46.02,52.26
11:51:09:407,-24.05,6.04,-46.23,52.45
11:51:09:447,-23.59,6.23,-45.87,51.96
11:51:09:487,-23.55,5.81,-45.75,51.78
11:51:09:527,-23.68,6.17,-45.73,51.86
11:51:09:567,-23.63,5.90,-45.41,51.53
11:51:09:607,-23.86,6.03,-45.59,51.81
11:51:09:647,-23.83,5.73,-46.20,52.30
11:51:09:687,-23.72,6.27,-45.97,52.11
11:51:09:727,-23.73,6.26,-46.14,52.26
11:51:09:767,-24.01,5.95,-46.03,52.26
11:51:09:807,-23.73,6.38,-45.66,51.86
11:51:09:847,-24.01,5.81,-45.97,52.19
11:51:09:887,-24.02,5.89,-45.64,51.91
11:51:09:927,-23.97,5.65,-45.65,51.87
11:51:09:967,-23.83,5.75,-45.93,52.06
11:51:10:007,-23.83,5.82,-45.98,52.11
11:51:10:047,-23.96,5.72,-46.09,52.26
11:51:10:087,-23.55,6.31,-46.18,52.22
11:51:10:127,-23.30,6.83,-45.95,51.97
11:51:10:167,-23.95,6.11,-46.21,52.41
11:51:10:207,-23.67,6.09,-45.95,52.04
11:51:10:247,-23.81,5.89,-45.81,51.97
11:51:10:287,-24.05,5.87,-45.95,52.19
11:51:10:327,-23.85,5.89,-45.76,51.94
11:51:10:367,-23.79,5.82,-45.81,51.95
11:51:10:407,-23.79,5.73,-45.38,51.56
11:51:10:447,-23.89,6.08,-46.04,52.23
11:51:10:487,-23.55,6.17,-45.43,51.54
11:51:10:527,-23.96,6.11,-45.90,52.13
11:51:10:567,-23.68,6.30,-46.19,52.29
11:51:10:607,-23.33,6.80,-45.75,51.80
11:51:10:647,-23.90,5.88,-45.64,51.85
11:51:10:687,-23.85,5.86,-45.42,51.64
11:51:10:727,-23.91,5.54,-45.73,51.90
11:51:10:767,-23.95,5.95,-45.41,51.68
11:51:10:807,-24.23,5.50,-45.48,51.83
11:51:10:847,-24.18,5.88,-45.76,52.09
11:51:10:887,-23.66,5.99,-45.87,51.96
11:51:10:927,-23.66,5.80,-45.62,51.71
11:51:10:967,-23.92,5.77,-45.41,51.65
11:51:11:007,-23.97,6.38,-45.73,52.02
11:51:11:047,-23.39,6.25,-45.70,51.72
11:51:11:087,-23.36,6.64,-45.71,51.76
11:51:11:127,-23.50,6.62,-45.79,51.89
11:51:11:167,-23.73,6.06,-45.64,51.80
11:51:11:207,-23.90,5.89,-45.80,51.99
11:51:11:247,-23.78,6.19,-45.29,51.52
11:51:11:287,-23.73,5.92,-45.62,51.76
11:51:11:327,-24.30,5.87,-45.44,51.87
11:51:11:367,-23.91,5.72,-45.42,51.65
11:51:11:407,-23.61,6.03,-45.74,51.82
11:51:11:447,-23.96,6.17,-45.70,51.97
11:51:11:487,-23.85,5.92,-45.74,51.92
11:51:11:527,-23.77,5.88,-46.08,52.18
11:51:11:567,-23.94,5.65,-45.95,52.11
11:51:11:607,-23.88,6.03,-45.59,51.82
11:51:11:647,-23.73,6.17,-45.86,52.00
11:51:11:687,-23.85,6.19,-45.55,51.79
11:51:11:727,-24.06,6.25,-46.13,52.40
11:51:11:767,-23.85,6.03,-46.06,52.21
11:51:11:807,-23.57,6.19,-46.13,52.17
11:51:11:847,-23.68,5.76,-45.58,51.69
11:51:11:887,-23.75,6.12,-45.75,51.91
11:51:11:927,-23.94,5.72,-45.48,51.71
11:51:11:967,-23.84,5.88,-46.24,52.35
11:51:12:007,-23.91,5.84,-45.65,51.87
11:51:12:047,-24.12,5.84,-45.74,52.04
11:51:12:087,-23.89,5.88,-45.88,52.06
11:51:12:127,-23.64,5.73,-45.54,51.63
11:51:12:167,-23.61,6.04,-45.82,51.90
11:51:12:207,-23.57,5.89,-45.73,51.78
11:51:12:247,-23.95,5.93,-46.08,52.27
11:51:12:287,-23.72,5.95,-45.74,51.86
11:51:12:327,-23.70,6.15,-45.37,51.56
11:51:12:367,-23.52,6.10,-45.54,51.62
11:51:12:407,-23.94,6.00,-45.85,52.07
11:51:12:447,-23.99,6.20,-45.71,51.99
11:51:12:487,-23.80,6.15,-45.73,51.92
11:51:12:527,-24.11,6.03,-45.69,52.01
11:51:12:567,-23.83,5.93,-46.03,52.17
11:51:12:607,-23.62,6.09,-45.68,51.78
11:51:12:647,-23.99,5.95,-45.95,52.17
11:51:12:687,-23.75,5.89,-45.51,51.67
11:51:12:727,-24.11,5.83,-45.93,52.20
11:51:12:767,-23.78,5.82,-45.87,52.00
11:51:12:807,-23.80,5.39,-45.43,51.57
11:51:12:847,-23.88,5.94,-45.79,51.98
11:51:12:887,-23.72,6.11,-45.71,51.86
11:51:12:927,-23.72,5.76,-45.84,51.93
11:51:12:967,-23.75,5.90,-45.98,52.09
11:51:13:007,-23.84,6.34,-45.71,51.94
11:51:13:047,-23.90,6.36,-45.63,51.90
11:51:13:087,-23.83,5.87,-46.02,52.15
11:51:13:127,-23.79,5.97,-46.20,52.31
11:51:13:167,-23.75,6.05,-45.98,52.11
11:51:13:207,-23.78,6.26,-45.65,51.85
11:51:13:247,-23.78,6.06,-45.18,51.41
11:51:13:287,-23.72,5.73,-45.62,51.73
11:51:13:327,-24.13,5.75,-45.49,51.82
11:51:13:367,-23.40,6.64,-45.95,51.99
11:51:13:407,-23.20,6.73,-46.02,51.98
11:51:13:447,-23.91,5.95,-45.98,52.17
11:51:13:487,-23.97,5.73,-46.19,52.35
11:51:13:527,-24.02,5.99,-45.46,51.76
11:51:13:567,-24.20,6.27,-45.60,52.01
11:51:13:607,-23.95,6.06,-45.74,51.98
11:51:13:647,-23.80,6.01,-45.68,51.86
11:51:13:687,-23.46,6.11,-45.43,51.50
11:51:13:727,-23.75,6.11,-45.43,51.63
11:51:13:767,-23.64,6.15,-46.23,52.28
11:51:13:807,-23.78,6.09,-46.03,52.17
11:51:13:847,-23.55,6.37,-46.18,52.22
11:51:13:887,-23.22,6.78,-45.85,51.84
11:51:13:927,-23.78,6.19,-45.46,51.67
11:51:13:967,-23.84,6.31,-45.86,52.07
11:51:14:007,-23.86,6.14,-45.43,51.68
11:51:14:047,-23.96,6.03,-45.84,52.07
11:51:14:087,-23.97,5.67,-45.60,51.83
11:51:14:127,-23.31,5.97,-46.03,51.94
11:51:14:167,-23.92,5.87,-45.48,51.72
11:51:14:207,-23.83,5.72,-45.53,51.71
11:51:14:247,-23.61,6.11,-45.54,51.66
11:51:14:287,-23.51,6.27,-45.97,52.01
11:51:14:327,-23.75,5.97,-46.04,52.15
11:51:14:367,-23.12,6.72,-46.35,52.23
11:51:14:407,-23.41,6.66,-46.20,52.22
11:51:14:447,-23.89,6.32,-46.09,52.30
11:51:14:487,-23.56,6.26,-45.77,51.86
11:51:14:527,-23.68,6.06,-45.74,51.86
11:51:14:567,-23.69,6.08,-45.71,51.85
11:51:14:607,-23.61,6.06,-45.73,51.82
11:51:14:647,-23.44,6.06,-45.96,51.94
11:51:14:687,-23.97,5.84,-46.13,52.31
11:51:14:727,-23.94,5.99,-45.57,51.82
11:51:14:767,-23.84,6.08,-45.74,51.93
11:51:14:807,-23.95,5.93,-45.18,51.47
11:51:14:847,-23.91,6.19,-45.57,51.83
11:51:14:887,-23.95,6.14,-45.70,51.96
11:51:14:927,-24.28,5.86,-45.88,52.24
11:51:14:967,-23.92,6.10,-45.71,51.95
11:51:15:007,-23.74,6.33,-45.76,51.94
11:51:15:047,-23.79,6.22,-46.09,52.24
11:51:15:087,-23.80,6.03,-45.79,51.95
11:51:15:127,-23.86,6.12,-46.38,52.52
11:51:15:167,-23.56,6.04,-46.20,52.21
11:51:15:207,-23.78,6.05,-45.51,51.70
11:51:15:247,-23.66,6.08,-45.91,52.00
11:51:15:287,-23.48,6.20,-45.71,51.77
11:51:15:327,-23.58,6.30,-45.79,51.89
11:51:15:367,-23.58,5.87,-45.97,52.00
11:51:15:407,-23.73,6.03,-45.92,52.04
11:51:15:447,-24.06,6.00,-46.13,52.37
11:51:15:487,-23.81,6.04,-46.04,52.19
11:51:15:527,-23.83,6.42,-46.06,52.25
11:51:15:567,-23.73,6.16,-45.99,52.12
11:51:15:607,-23.67,6.62,-45.98,52.14
11:51:15:647,-23.40,6.89,-45.74,51.84
11:51:15:687,-23.64,6.32,-46.09,52.19
11:51:15:727,-23.78,6.06,-45.91,52.06
11:51:15:767,-23.90,6.15,-46.32,52.49
11:51:15:807,-23.52,5.93,-46.25,52.23
11:51:15:847,-24.31,5.88,-46.16,52.51
11:51:15:887,-23.90,6.44,-46.09,52.32
11:51:15:927,-23.28,6.26,-46.31,52.21
11:51:15:967,-23.55,6.40,-45.87,51.96
11:51:16:007,-23.38,6.38,-45.84,51.85
11:51:16:047,-23.50,6.21,-45.62,51.69
11:51:16:087,-23.69,6.83,-46.06,52.24
11:51:16:127,-23.80,6.34,-46.14,52.30
