# sensor:magnetometer
# Requested Sample Rate: 40 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:54:38:446,-23.55,6.08,-46.34,52.33
11:54:38:466,-23.57,6.98,-46.42,52.53
11:54:38:506,-23.61,6.26,-45.70,51.82
11:54:38:526,-23.36,7.01,-45.99,52.06
11:54:38:546,-23.85,5.77,-46.14,52.26
11:54:38:566,-23.92,6.11,-46.56,52.70
11:54:38:606,-24.00,6.05,-45.07,51.42
11:54:38:626,-23.61,6.34,-45.91,52.01
11:54:38:646,-23.96,5.56,-46.35,52.47
11:54:38:666,-23.35,6.09,-46.24,52.16
11:54:38:706,-23.99,6.22,-45.48,51.79
11:54:38:726,-23.39,6.72,-46.32,52.33
11:54:38:746,-23.61,6.34,-46.12,52.19
11:54:38:766,-24.05,5.83,-46.35,52.54
11:54:38:806,-23.70,6.16,-45.38,51.57
11:54:38:826,-23.35,6.00,-46.03,51.96
11:54:38:846,-23.29,6.65,-45.90,51.90
11:54:38:866,-23.80,6.40,-46.23,52.39
11:54:38:906,-24.01,5.95,-45.27,51.59
11:54:38:926,-23.55,5.89,-45.92,51.94
11:54:38:946,-23.63,6.06,-46.13,52.18
11:54:38:966,-23.52,6.09,-45.70,51.76
11:54:39:006,-23.61,6.26,-45.59,51.72
11:54:39:026,-23.91,6.04,-45.81,52.03
11:54:39:046,-23.77,5.69,-46.25,52.31
11:54:39:066,-23.77,5.69,-46.25,52.31
11:54:39:106,-23.27,6.93,-45.90,51.92
11:54:39:126,-23.62,6.16,-45.70,51.81
11:54:39:146,-23.72,6.06,-45.49,51.66
11:54:39:166,-23.63,5.98,-45.81,51.89
11:54:39:206,-23.78,6.34,-45.16,51.43
11:54:39:226,-23.79,6.42,-46.01,52.19
11:54:39:246,-23.70,6.16,-45.38,51.57
11:54:39:266,-23.70,6.33,-46.23,52.33
11:54:39:306,-23.68,5.51,-46.04,52.07
11:54:39:326,-23.29,6.75,-46.12,52.10
11:54:39:346,-23.86,5.40,-45.73,51.86
11:54:39:366,-23.95,5.76,-46.24,52.39
11:54:39:406,-23.84,5.86,-46.03,52.17
11:54:39:426,-23.24,6.10,-46.13,52.01
11:54:39:446,-24.00,6.12,-45.59,51.88
11:54:39:466,-23.72,6.23,-46.13,52.24
11:54:39:506,-24.30,6.00,-45.91,52.29
11:54:39:526,-23.66,6.81,-45.58,51.80
11:54:39:546,-23.89,6.15,-45.07,51.38
11:54:39:566,-24.18,6.30,-45.48,51.89
11:54:39:606,-23.92,6.03,-46.24,52.41
11:54:39:626,-23.70,6.08,-45.07,51.28
11:54:39:646,-24.09,6.11,-45.70,52.02
11:54:39:666,-24.12,5.75,-45.49,51.81
11:54:39:706,-23.80,6.32,-46.02,52.19
11:54:39:726,-24.30,5.83,-45.07,51.53
11:54:39:746,-24.12,6.00,-46.45,52.68
11:54:39:766,-23.42,6.36,-46.23,52.21
11:54:39:806,-23.47,6.82,-46.01,52.10
11:54:39:826,-23.56,5.80,-46.35,52.31
11:54:39:846,-24.16,5.38,-45.62,51.90
11:54:39:866,-23.01,6.59,-46.12,51.96
11:54:39:906,-22.83,6.69,-46.65,52.37
11:54:39:926,-22.98,7.04,-46.31,52.18
11:54:39:946,-23.72,7.16,-45.46,51.77
11:54:39:966,-22.97,7.05,-45.90,51.81
11:54:40:006,-23.19,6.76,-45.90,51.87
11:54:40:026,-23.14,6.21,-46.13,51.98
11:54:40:046,-23.79,6.67,-46.75,52.88
11:54:40:066,-23.61,6.34,-46.02,52.11
11:54:40:106,-23.31,6.38,-45.70,51.70
11:54:40:126,-23.64,6.89,-45.58,51.81
11:54:40:146,-23.12,6.39,-45.91,51.80
11:54:40:166,-23.33,6.20,-45.81,51.78
11:54:40:206,-23.77,5.77,-46.46,52.50
11:54:40:226,-23.53,6.08,-45.81,51.86
11:54:40:246,-23.58,6.54,-45.69,51.83
11:54:40:266,-23.72,6.25,-46.02,52.15
11:54:40:306,-23.63,5.98,-45.81,51.89
11:54:40:326,-24.07,6.48,-45.80,52.14
11:54:40:346,-23.45,6.16,-46.65,52.58
11:54:40:366,-23.85,5.67,-46.14,52.25
11:54:40:406,-23.29,6.56,-45.69,51.70
11:54:40:426,-24.14,5.65,-46.03,52.28
11:54:40:446,-23.61,6.17,-45.27,51.43
11:54:40:466,-23.80,6.06,-45.27,51.51
11:54:40:506,-23.80,6.15,-45.59,51.80
11:54:40:526,-23.59,6.61,-46.21,52.31
11:54:40:546,-23.99,6.39,-45.91,52.19
11:54:40:566,-23.89,6.23,-45.48,51.75
11:54:40:606,-24.31,5.73,-45.18,51.62
11:54:40:626,-23.48,6.54,-45.80,51.88
11:54:40:646,-23.74,5.97,-46.13,52.22
11:54:40:666,-23.88,6.33,-45.05,51.38
11:54:40:706,-23.23,5.94,-44.86,50.86
11:54:40:726,-23.39,6.82,-46.32,52.34
11:54:40:746,-23.51,6.10,-45.07,51.19
11:54:40:766,-23.52,6.09,-45.49,51.58
11:54:40:806,-23.53,5.99,-45.49,51.57
11:54:40:826,-23.42,6.36,-46.23,52.21
11:54:40:846,-23.90,6.14,-45.48,51.74
11:54:40:866,-23.91,6.14,-45.81,52.04
11:54:40:906,-23.61,6.17,-45.59,51.71
11:54:40:926,-23.61,6.26,-45.48,51.62
11:54:40:946,-23.61,6.26,-45.80,51.90
11:54:40:966,-23.97,6.40,-45.48,51.81
11:54:41:006,-23.68,6.53,-45.80,51.97
11:54:41:026,-24.01,6.20,-46.34,52.55
11:54:41:046,-23.88,6.59,-46.12,52.35
11:54:41:066,-24.03,5.84,-46.03,52.26
11:54:41:106,-24.02,5.93,-45.92,52.16
11:54:41:126,-24.00,6.21,-46.02,52.27
11:54:41:146,-23.25,6.01,-46.13,52.01
11:54:41:166,-23.24,6.28,-46.34,52.22
11:54:41:206,-24.01,5.95,-45.27,51.59
11:54:41:226,-23.44,7.11,-45.25,51.45
11:54:41:246,-23.91,6.39,-46.65,52.81
11:54:41:266,-24.36,6.27,-45.37,51.88
11:54:41:306,-24.31,6.08,-46.45,52.78
11:54:41:326,-23.57,6.71,-45.90,52.03
11:54:41:346,-23.77,6.78,-46.10,52.31
11:54:41:366,-24.30,5.99,-46.02,52.38
11:54:41:406,-24.07,5.47,-46.36,52.52
11:54:41:426,-23.31,6.30,-45.59,51.59
11:54:41:446,-23.09,6.59,-45.69,51.62
11:54:41:466,-23.85,5.84,-46.56,52.63
11:54:41:506,-23.90,6.32,-45.91,52.14
11:54:41:526,-24.19,6.01,-45.49,51.88
11:54:41:546,-23.58,6.54,-45.58,51.73
11:54:41:566,-24.02,5.86,-45.38,51.68
11:54:41:606,-24.00,6.21,-45.80,52.08
11:54:41:626,-23.75,6.80,-45.68,51.93
11:54:41:646,-23.67,6.71,-45.79,51.98
11:54:41:666,-23.89,6.23,-45.48,51.75
11:54:41:706,-23.88,6.50,-45.90,52.14
11:54:41:726,-23.40,6.28,-45.27,51.35
