# sensor:magnetometer
# Requested Sample Rate: 50 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:00:58:560,-23.61,6.34,-46.12,52.19
12:00:58:580,-22.83,7.80,-46.40,52.29
12:00:58:600,-22.94,6.40,-46.23,52.00
12:00:58:620,-23.70,6.25,-45.80,51.95
12:00:58:640,-23.56,5.80,-46.03,52.03
12:00:58:660,-23.81,6.22,-46.23,52.37
12:00:58:680,-24.00,6.22,-45.59,51.90
12:00:58:700,-23.17,6.01,-46.77,52.54
12:00:58:720,-23.47,6.91,-46.21,52.29
12:00:58:740,-23.79,6.33,-45.69,51.90
12:00:58:760,-22.68,5.81,-45.71,51.36
12:00:58:780,-23.52,6.26,-46.02,52.06
12:00:58:800,-23.78,5.67,-46.67,52.68
12:00:58:820,-23.59,6.53,-46.23,52.31
12:00:58:840,-23.40,6.47,-45.59,51.65
12:00:58:860,-23.31,6.47,-46.02,51.99
12:00:58:880,-23.72,6.06,-45.49,51.66
12:00:58:900,-24.05,5.73,-46.46,52.63
12:00:58:920,-23.57,5.88,-46.77,52.71
12:00:58:940,-23.28,7.00,-46.74,52.68
12:00:58:960,-23.42,6.36,-46.34,52.31
12:00:58:980,-23.58,6.61,-46.12,52.22
12:00:59:000,-23.64,5.98,-46.03,52.09
12:00:59:020,-23.56,5.80,-46.03,52.03
12:00:59:040,-23.40,6.28,-45.27,51.35
12:00:59:060,-24.00,6.21,-45.91,52.17
12:00:59:080,-23.20,6.39,-45.59,51.55
12:00:59:100,-23.53,5.99,-45.70,51.75
12:00:59:120,-23.51,6.10,-44.96,51.10
12:00:59:140,-23.46,5.64,-45.40,51.41
12:00:59:160,-23.45,5.99,-46.24,52.19
12:00:59:180,-23.89,6.49,-46.23,52.44
12:00:59:200,-23.25,5.83,-45.71,51.62
12:00:59:220,-23.34,6.01,-45.81,51.76
12:00:59:240,-23.55,5.89,-45.92,51.94
12:00:59:260,-23.57,5.53,-45.62,51.64
12:00:59:280,-23.53,6.16,-46.13,52.15
12:00:59:300,-24.33,5.64,-45.60,51.99
12:00:59:320,-23.81,6.14,-45.91,52.08
12:00:59:340,-23.42,6.27,-46.23,52.20
12:00:59:360,-23.28,5.82,-46.35,52.19
12:00:59:380,-23.81,6.22,-46.13,52.28
12:00:59:400,-23.81,5.88,-45.18,51.41
12:00:59:420,-23.25,6.00,-46.35,52.20
12:00:59:440,-23.58,6.62,-45.69,51.84
12:00:59:460,-24.23,5.65,-45.40,51.77
12:00:59:480,-23.62,6.33,-46.34,52.39
12:00:59:500,-23.70,6.33,-45.80,51.96
12:00:59:520,-23.45,5.65,-45.08,51.13
12:00:59:540,-23.88,5.58,-46.68,52.72
12:00:59:560,-23.73,6.06,-45.92,52.04
12:00:59:580,-23.55,5.98,-46.03,52.05
12:00:59:600,-23.69,6.43,-45.59,51.78
12:00:59:620,-23.44,6.00,-45.60,51.62
12:00:59:640,-23.45,5.90,-45.71,51.71
12:00:59:660,-23.74,5.87,-46.13,52.21
12:00:59:680,-23.73,5.97,-46.03,52.13
12:00:59:700,-23.84,5.86,-46.24,52.35
12:00:59:720,-23.74,5.95,-46.35,52.41
12:00:59:740,-23.78,6.51,-45.90,52.10
12:00:59:760,-23.74,5.88,-45.81,51.93
12:00:59:780,-23.91,5.87,-45.07,51.35
12:00:59:800,-23.94,5.76,-45.81,52.01
12:00:59:820,-24.16,5.47,-45.93,52.18
12:00:59:840,-23.44,6.00,-45.92,51.90
12:00:59:860,-24.07,5.47,-46.25,52.42
12:00:59:880,-23.73,5.88,-45.60,51.74
12:00:59:900,-23.53,6.08,-46.02,52.04
12:00:59:920,-24.01,6.04,-45.59,51.88
12:00:59:940,-23.72,6.15,-46.02,52.13
12:00:59:960,-23.84,5.77,-45.82,51.97
12:00:59:980,-23.74,5.87,-46.03,52.12
12:01:00:000,-24.12,5.93,-45.81,52.11
12:01:00:020,-23.02,6.67,-46.64,52.44
12:01:00:040,-24.11,6.10,-46.23,52.49
12:01:00:060,-23.42,6.27,-45.91,51.92
12:01:00:080,-23.36,5.99,-46.87,52.71
12:01:00:100,-23.44,6.00,-45.71,51.72
12:01:00:120,-23.79,5.23,-45.62,51.71
12:01:00:140,-23.73,6.06,-45.92,52.04
12:01:00:160,-23.92,5.94,-46.02,52.20
12:01:00:180,-23.63,5.98,-45.70,51.80
12:01:00:200,-23.94,5.77,-45.60,51.83
12:01:00:220,-23.46,5.89,-46.35,52.28
12:01:00:240,-23.74,5.78,-45.82,51.93
12:01:00:260,-23.70,6.16,-45.49,51.67
12:01:00:280,-24.03,5.84,-46.13,52.34
12:01:00:300,-23.61,6.26,-45.91,52.00
12:01:00:320,-23.86,5.59,-46.03,52.15
12:01:00:340,-24.12,5.84,-45.38,51.73
12:01:00:360,-24.03,5.93,-46.35,52.54
12:01:00:380,-23.45,5.99,-46.24,52.19
12:01:00:400,-23.63,5.89,-45.49,51.60
12:01:00:420,-24.01,6.04,-45.59,51.88
12:01:00:440,-23.72,5.98,-45.49,51.65
12:01:00:460,-24.11,6.01,-45.91,52.20
12:01:00:480,-23.44,5.90,-45.60,51.61
12:01:00:500,-23.55,5.89,-45.92,51.94
12:01:00:520,-23.85,5.69,-45.71,51.87
12:01:00:540,-23.52,6.34,-46.34,52.35
12:01:00:560,-23.63,5.98,-45.92,51.99
12:01:00:580,-23.88,5.32,-45.51,51.66
12:01:00:600,-23.62,6.16,-45.91,51.99
12:01:00:620,-23.68,5.50,-46.25,52.25
12:01:00:640,-23.81,6.05,-45.59,51.79
12:01:00:660,-23.62,5.99,-45.38,51.51
12:01:00:680,-23.17,5.93,-46.35,52.15
12:01:00:700,-24.31,5.72,-45.60,52.00
12:01:00:720,-23.33,6.28,-46.02,51.97
12:01:00:740,-23.51,6.36,-46.12,52.15
12:01:00:760,-23.83,5.88,-45.29,51.51
12:01:00:780,-24.09,6.11,-45.70,52.02
12:01:00:800,-23.53,5.90,-45.29,51.38
12:01:00:820,-23.56,5.62,-45.51,51.55
12:01:00:840,-23.22,6.48,-46.12,52.04
12:01:00:860,-23.45,5.90,-45.81,51.80
12:01:00:880,-23.03,6.23,-45.60,51.47
12:01:00:900,-23.69,6.34,-45.37,51.58
12:01:00:920,-23.47,5.80,-46.57,52.47
12:01:00:940,-23.67,5.61,-45.82,51.88
12:01:00:960,-23.56,5.88,-46.56,52.51
12:01:00:980,-23.51,6.19,-45.38,51.48
12:01:01:000,-23.59,5.25,-45.84,51.82
12:01:01:020,-23.47,5.62,-45.82,51.79
12:01:01:040,-23.14,6.12,-45.81,51.69
12:01:01:060,-24.14,5.73,-46.24,52.48
12:01:01:080,-23.64,5.88,-45.81,51.89
12:01:01:100,-23.69,6.26,-45.27,51.48
12:01:01:120,-24.12,5.66,-45.18,51.52
12:01:01:140,-23.62,6.25,-46.34,52.38
12:01:01:160,-23.40,6.28,-45.16,51.25
12:01:01:180,-23.33,6.10,-45.60,51.59
12:01:01:200,-23.64,5.98,-46.03,52.09
12:01:01:220,-23.59,5.43,-46.25,52.20
12:01:01:240,-23.89,6.49,-46.23,52.44
12:01:01:260,-23.91,6.12,-46.13,52.32
12:01:01:280,-23.99,5.12,-45.52,51.71
12:01:01:300,-23.55,5.81,-45.49,51.55
12:01:01:320,-24.03,5.76,-45.81,52.05
12:01:01:340,-23.75,5.95,-46.67,52.70
12:01:01:360,-23.97,5.31,-45.73,51.90
12:01:01:380,-22.96,6.05,-45.92,51.70
12:01:01:400,-23.69,5.33,-45.93,51.96
12:01:01:420,-23.51,6.27,-45.81,51.87
12:01:01:440,-23.83,5.97,-45.60,51.80
12:01:01:460,-23.56,5.89,-46.24,52.23
12:01:01:480,-23.86,5.59,-45.93,52.06
12:01:01:500,-24.49,5.06,-46.04,52.39
12:01:01:520,-23.80,6.23,-45.80,51.99
12:01:01:540,-23.56,5.62,-45.30,51.37
12:01:01:560,-23.92,5.86,-45.60,51.83
12:01:01:580,-23.85,5.69,-45.82,51.97
12:01:01:600,-24.22,5.92,-45.81,52.15
12:01:01:620,-23.42,6.00,-45.38,51.42
12:01:01:640,-23.55,5.89,-45.92,51.94
12:01:01:660,-23.72,6.15,-46.02,52.13
12:01:01:680,-23.85,5.59,-45.71,51.86
12:01:01:700,-23.62,6.08,-45.60,51.72
12:01:01:720,-23.92,5.87,-45.38,51.64
12:01:01:740,-23.94,5.76,-45.81,52.01
12:01:01:760,-23.53,6.08,-45.81,51.86
12:01:01:780,-23.45,5.82,-45.60,51.61
12:01:01:800,-23.35,6.17,-46.65,52.53
12:01:01:820,-24.03,5.84,-46.03,52.26
12:01:01:840,-23.67,5.53,-45.51,51.59
12:01:01:860,-23.72,6.06,-45.59,51.75
12:01:01:880,-24.05,5.83,-46.35,52.54
12:01:01:900,-23.56,5.88,-46.35,52.32
12:01:01:920,-23.53,6.16,-46.13,52.15
12:01:01:940,-23.19,6.76,-45.90,51.87
12:01:01:960,-23.52,6.17,-45.91,51.95
12:01:01:980,-23.53,6.08,-45.81,51.86
12:01:02:000,-23.88,5.49,-46.04,52.15
12:01:02:020,-23.34,6.19,-46.24,52.16
12:01:02:040,-23.07,5.94,-46.24,52.01
12:01:02:060,-23.77,5.60,-46.03,52.11
12:01:02:080,-23.53,5.99,-45.81,51.85
12:01:02:100,-23.11,5.48,-46.15,51.90
12:01:02:120,-22.92,6.42,-45.81,51.63
12:01:02:140,-23.11,6.40,-45.48,51.42
12:01:02:160,-23.68,6.53,-45.80,51.97
12:01:02:180,-23.99,6.31,-45.69,51.99
12:01:02:200,-23.41,6.36,-46.12,52.11
12:01:02:220,-22.86,6.22,-46.76,52.42
12:01:02:240,-24.22,5.73,-45.49,51.86
12:01:02:260,-24.23,5.73,-45.81,52.14
12:01:02:280,-23.44,5.82,-45.29,51.32
12:01:02:300,-23.56,5.62,-45.51,51.55
12:01:02:320,-24.05,5.73,-46.46,52.63
12:01:02:340,-24.08,5.20,-45.73,51.94
12:01:02:360,-24.12,5.84,-45.38,51.73
12:01:02:380,-22.96,6.04,-46.24,51.98
12:01:02:400,-23.88,5.49,-46.14,52.24
12:01:02:420,-24.12,5.92,-46.13,52.39
12:01:02:440,-24.03,5.58,-45.40,51.67
12:01:02:460,-23.64,5.88,-45.92,51.98
12:01:02:480,-23.81,6.22,-46.13,52.28
12:01:02:500,-24.01,6.11,-46.13,52.36
12:01:02:520,-23.52,6.00,-45.29,51.38
12:01:02:540,-23.95,5.76,-46.24,52.39
12:01:02:560,-23.70,5.23,-46.26,52.24
12:01:02:580,-24.31,5.82,-45.81,52.19
12:01:02:600,-23.44,6.00,-45.92,51.90
12:01:02:620,-23.55,5.89,-46.03,52.04
12:01:02:640,-23.53,6.08,-46.02,52.04
12:01:02:660,-23.64,5.71,-45.19,51.32
12:01:02:680,-23.47,5.88,-46.77,52.66
12:01:02:700,-23.52,6.17,-45.91,51.95
12:01:02:720,-23.12,6.39,-46.02,51.89
12:01:02:740,-24.23,5.72,-46.03,52.33
12:01:02:760,-22.97,5.86,-46.03,51.78
12:01:02:780,-23.46,5.64,-45.51,51.51
12:01:02:800,-23.81,6.05,-45.49,51.71
12:01:02:820,-23.99,5.21,-46.04,52.18
12:01:02:840,-23.40,6.64,-46.12,52.14
12:01:02:860,-23.25,5.84,-45.60,51.52
12:01:02:880,-23.33,6.37,-46.23,52.17
12:01:02:900,-23.84,5.77,-45.71,51.88
12:01:02:920,-23.63,5.98,-45.70,51.80
12:01:02:940,-23.56,5.71,-45.82,51.84
12:01:02:960,-23.44,5.75,-44.65,50.76
12:01:02:980,-23.25,6.01,-46.03,51.92
12:01:03:000,-23.62,5.90,-44.97,51.14
12:01:03:020,-23.68,6.53,-45.69,51.87
