# sensor:magnetometer
# Requested Sample Rate: 75 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:03:32:271,-23.68,5.25,-45.30,51.38
12:03:32:291,-23.20,6.40,-45.27,51.28
12:03:32:301,-23.19,6.67,-45.58,51.57
12:03:32:311,-23.31,6.03,-44.75,50.82
12:03:32:331,-23.42,5.93,-44.65,50.77
12:03:32:341,-23.46,5.55,-45.08,51.12
12:03:32:351,-23.44,5.75,-44.76,50.85
12:03:32:371,-23.27,5.56,-45.30,51.23
12:03:32:381,-23.64,5.54,-44.65,50.83
12:03:32:391,-23.34,6.01,-45.81,51.76
12:03:32:411,-23.38,5.55,-45.51,51.46
12:03:32:421,-23.74,5.70,-45.29,51.45
12:03:32:431,-23.23,6.21,-45.70,51.64
12:03:32:451,-23.73,5.88,-45.60,51.74
12:03:32:461,-23.51,6.27,-45.81,51.87
12:03:32:471,-23.72,5.81,-44.54,50.80
12:03:32:491,-22.88,6.05,-46.46,52.14
12:03:32:501,-23.33,6.03,-45.18,51.20
12:03:32:511,-23.47,5.64,-45.71,51.70
12:03:32:531,-23.45,5.82,-45.60,51.61
12:03:32:541,-22.90,6.36,-44.43,50.39
12:03:32:551,-23.50,6.27,-45.38,51.49
12:03:32:571,-23.28,5.48,-45.51,51.41
12:03:32:581,-23.22,6.31,-45.38,51.37
12:03:32:591,-23.24,6.03,-45.60,51.54
12:03:32:611,-23.36,5.65,-45.40,51.37
12:03:32:621,-23.38,5.64,-45.82,51.75
12:03:32:631,-23.45,5.73,-45.40,51.42
12:03:32:651,-23.74,5.70,-45.51,51.64
12:03:32:661,-23.44,5.82,-45.29,51.32
12:03:32:671,-23.35,5.83,-45.60,51.57
12:03:32:691,-23.46,5.64,-45.30,51.32
12:03:32:701,-23.58,6.37,-44.96,51.16
12:03:32:711,-23.70,6.16,-45.16,51.38
12:03:32:731,-23.44,6.09,-45.92,51.91
12:03:32:741,-23.45,5.65,-45.19,51.22
