# sensor:magnetometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:06:19:844,-22.86,5.62,-44.66,50.49
12:06:19:854,-23.67,5.51,-45.82,51.87
12:06:19:864,-23.27,5.56,-45.30,51.23
12:06:19:874,-23.36,5.39,-44.46,50.51
12:06:19:884,-23.14,6.12,-45.70,51.59
12:06:19:894,-23.55,5.72,-45.51,51.56
12:06:19:904,-23.35,5.66,-44.76,50.80
12:06:19:914,-23.53,4.71,-45.42,51.37
12:06:19:924,-23.40,4.93,-44.25,50.30
12:06:19:934,-23.50,5.00,-44.79,50.82
12:06:19:944,-23.74,5.61,-45.29,51.44
12:06:19:954,-23.12,5.12,-45.31,51.13
12:06:19:964,-23.99,5.12,-45.73,51.89
12:06:19:974,-23.85,5.50,-45.40,51.57
12:06:19:984,-23.61,4.99,-45.10,51.15
12:06:19:994,-23.08,5.58,-45.73,51.52
12:06:20:004,-23.36,5.39,-44.46,50.51
12:06:20:014,-23.64,5.54,-44.76,50.92
12:06:20:024,-23.78,5.23,-45.41,51.52
12:06:20:034,-23.41,5.01,-45.10,51.06
12:06:20:044,-23.59,5.16,-45.52,51.53
12:06:20:054,-23.47,5.37,-45.09,51.12
12:06:20:064,-23.85,5.42,-45.08,51.29
12:06:20:074,-23.90,5.04,-45.63,51.75
12:06:20:084,-23.19,5.39,-45.62,51.46
12:06:20:094,-23.77,5.33,-45.30,51.43
12:06:20:104,-23.47,5.54,-45.51,51.50
12:06:20:114,-23.48,5.18,-44.99,51.02
12:06:20:124,-23.89,5.22,-45.73,51.85
12:06:20:134,-23.89,5.05,-45.20,51.37
12:06:20:144,-23.89,5.05,-45.09,51.28
12:06:20:154,-23.67,5.34,-45.30,51.39
12:06:20:164,-22.46,6.10,-45.60,51.20
12:06:20:174,-23.22,5.28,-45.95,51.75
12:06:20:184,-22.96,5.88,-45.29,51.11
12:06:20:194,-22.55,6.20,-45.18,50.87
12:06:20:204,-22.92,6.33,-45.59,51.42
12:06:20:214,-23.33,6.01,-45.38,51.38
12:06:20:224,-22.80,5.53,-45.62,51.30
12:06:20:234,-22.78,5.89,-45.71,51.41
12:06:20:244,-23.06,5.69,-44.98,50.87
12:06:20:254,-23.72,4.70,-45.10,51.17
12:06:20:264,-23.72,4.88,-45.42,51.47
12:06:20:274,-23.70,4.88,-45.10,51.19
12:06:20:284,-23.68,5.08,-44.77,50.90
12:06:20:294,-23.06,5.77,-45.29,51.15
12:06:20:304,-23.29,5.21,-44.99,50.93
12:06:20:314,-24.00,4.68,-44.58,50.84
12:06:20:324,-23.67,5.09,-44.25,50.44
12:06:20:334,-23.36,5.39,-44.35,50.41
12:06:20:344,-23.81,4.61,-44.58,50.75
12:06:20:354,-23.75,5.36,-44.44,50.68
12:06:20:364,-23.73,5.62,-44.76,50.97
12:06:20:374,-23.79,5.06,-44.99,51.15
12:06:20:384,-23.86,5.25,-44.66,50.91
12:06:20:394,-23.28,5.39,-44.98,50.93
12:06:20:404,-23.50,5.10,-44.88,50.92
12:06:20:414,-23.57,5.10,-44.25,50.39
12:06:20:424,-23.67,5.26,-44.77,50.92
12:06:20:434,-23.50,5.17,-45.31,51.30
12:06:20:444,-23.42,4.82,-45.10,51.05
12:06:20:454,-23.70,4.98,-45.31,51.38
12:06:20:464,-23.11,5.22,-45.31,51.13
12:06:20:474,-24.05,5.49,-45.19,51.48
12:06:20:484,-23.67,5.09,-44.35,50.52
12:06:20:494,-23.19,5.05,-44.36,50.31
12:06:20:504,-23.61,4.99,-45.20,51.24
12:06:20:514,-23.48,5.18,-45.09,51.10
12:06:20:524,-23.28,5.29,-44.88,50.84
12:06:20:534,-23.80,4.88,-44.99,51.13
12:06:20:544,-23.67,5.34,-45.19,51.29
12:06:20:554,-23.88,5.05,-44.99,51.19
12:06:20:564,-24.00,4.86,-45.31,51.50
12:06:20:574,-23.67,5.34,-45.09,51.20
12:06:20:584,-23.90,4.95,-45.42,51.56
12:06:20:594,-23.56,5.54,-44.98,51.08
12:06:20:604,-23.56,5.54,-44.98,51.08
12:06:20:614,-23.38,5.29,-44.57,50.60
12:06:20:624,-23.51,4.99,-45.52,51.47
12:06:20:634,-23.52,4.90,-45.31,51.29
12:06:20:644,-23.73,4.78,-45.53,51.57
12:06:20:654,-23.16,5.86,-45.29,51.20
12:06:20:664,-23.46,5.72,-45.93,51.89
12:06:20:674,-23.16,5.76,-45.29,51.19
12:06:20:684,-23.05,5.88,-44.86,50.77
12:06:20:694,-22.86,5.97,-45.71,51.46
12:06:20:704,-22.74,6.09,-44.86,50.66
12:06:20:714,-23.45,5.73,-45.51,51.51
12:06:20:724,-24.12,5.59,-44.54,50.96
12:06:20:734,-23.77,5.33,-45.09,51.25
12:06:20:744,-23.77,5.25,-44.98,51.14
12:06:20:754,-23.61,4.89,-45.10,51.14
12:06:20:764,-23.33,5.93,-44.97,51.00
12:06:20:774,-23.59,4.82,-44.47,50.57
12:06:20:784,-24.27,4.93,-44.68,51.08
12:06:20:794,-23.70,4.98,-45.20,51.28
12:06:20:804,-24.02,4.75,-45.74,51.88
12:06:20:814,-23.96,5.14,-44.66,50.94
12:06:20:824,-24.75,4.88,-44.57,51.21
12:06:20:834,-23.69,4.99,-44.77,50.90
12:06:20:844,-23.08,5.42,-44.88,50.76
12:06:20:854,-23.86,5.15,-44.57,50.81
12:06:20:864,-23.59,5.34,-45.84,51.83
12:06:20:874,-23.09,5.49,-45.73,51.52
12:06:20:884,-23.69,5.06,-45.20,51.28
12:06:20:894,-23.36,5.48,-44.76,50.79
12:06:20:904,-23.11,5.14,-44.88,50.74
12:06:20:914,-23.30,5.03,-44.68,50.64
12:06:20:924,-23.68,5.16,-45.09,51.19
12:06:20:934,-23.69,4.89,-44.79,50.90
12:06:20:944,-23.25,4.56,-45.43,51.24
12:06:20:954,-23.58,5.00,-44.57,50.67
12:06:20:964,-23.50,5.01,-44.57,50.63
12:06:20:974,-23.62,4.79,-45.31,51.32
12:06:20:984,-24.01,4.67,-44.90,51.13
12:06:20:994,-23.44,4.82,-45.53,51.43
12:06:21:004,-23.81,4.78,-45.10,51.23
12:06:21:014,-23.62,4.72,-44.79,50.85
12:06:21:024,-23.68,5.25,-45.30,51.38
12:06:21:034,-23.67,5.26,-44.88,51.01
12:06:21:044,-24.16,5.21,-44.77,51.14
12:06:21:054,-23.80,4.78,-44.99,51.13
12:06:21:064,-23.38,5.47,-45.19,51.17
12:06:21:074,-23.96,5.15,-44.46,50.76
12:06:21:084,-23.79,4.88,-44.79,50.95
12:06:21:094,-23.68,5.08,-44.88,51.00
12:06:21:104,-23.67,5.26,-44.98,51.10
12:06:21:114,-24.09,4.76,-44.88,51.16
12:06:21:124,-23.41,4.83,-44.58,50.58
12:06:21:134,-23.89,5.05,-45.09,51.28
12:06:21:144,-22.98,5.59,-45.73,51.48
12:06:21:154,-24.16,5.12,-44.77,51.13
12:06:21:164,-23.78,5.06,-44.77,50.95
12:06:21:174,-23.83,4.60,-45.10,51.22
12:06:21:184,-23.36,5.56,-44.98,50.99
12:06:21:194,-23.72,4.88,-45.53,51.57
12:06:21:204,-23.55,5.72,-45.40,51.46
12:06:21:214,-23.78,5.06,-44.77,50.95
12:06:21:224,-23.50,5.09,-45.09,51.10
12:06:21:234,-23.67,4.92,-43.72,49.96
12:06:21:244,-23.70,4.97,-45.42,51.47
12:06:21:254,-23.28,5.39,-44.87,50.84
12:06:21:264,-23.68,5.08,-44.77,50.90
12:06:21:274,-23.80,4.87,-45.20,51.32
