# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:09:723,-23.68,5.26,-45.20,51.30
12:09:09:733,-22.66,6.26,-45.92,51.59
12:09:09:753,-22.97,5.51,-44.87,50.71
12:09:09:763,-23.67,5.34,-44.98,51.11
12:09:09:773,-23.23,5.01,-45.74,51.54
12:09:09:783,-23.25,5.76,-45.29,51.23
12:09:09:803,-23.79,5.15,-45.31,51.43
12:09:09:813,-23.68,5.34,-45.52,51.59
12:09:09:823,-23.48,5.18,-44.88,50.92
12:09:09:833,-23.90,4.86,-45.31,51.46
12:09:09:853,-23.44,4.55,-44.80,50.76
12:09:09:863,-22.90,5.25,-44.88,50.66
12:09:09:873,-23.11,5.14,-44.88,50.74
12:09:09:883,-23.22,5.03,-45.20,51.06
12:09:09:903,-23.33,4.75,-44.79,50.72
12:09:09:913,-23.53,4.89,-45.96,51.86
12:09:09:923,-23.69,5.16,-45.41,51.48
12:09:09:933,-23.29,5.38,-45.73,51.60
12:09:09:953,-23.58,5.43,-45.82,51.82
12:09:09:963,-23.77,4.32,-45.54,51.55
12:09:09:973,-23.31,4.93,-44.99,50.91
12:09:09:983,-23.79,4.97,-44.99,51.14
12:09:10:003,-23.31,5.01,-45.31,51.20
12:09:10:013,-23.68,5.25,-45.41,51.48
12:09:10:023,-23.68,5.25,-45.41,51.48
12:09:10:033,-23.53,4.79,-45.74,51.66
12:09:10:053,-23.79,5.05,-45.31,51.43
12:09:10:063,-23.50,5.18,-45.20,51.21
12:09:10:073,-23.41,5.01,-45.10,51.06
12:09:10:083,-23.34,4.75,-45.10,51.01
12:09:10:103,-23.33,5.10,-45.95,51.78
12:09:10:113,-23.58,5.09,-44.88,50.96
12:09:10:123,-23.41,4.83,-44.79,50.77
12:09:10:133,-23.63,4.71,-45.42,51.42
12:09:10:153,-23.62,4.81,-45.21,51.24
12:09:10:163,-23.01,5.14,-45.20,50.98
12:09:10:173,-23.88,5.32,-45.62,51.76
12:09:10:183,-23.13,4.86,-45.21,51.02
12:09:10:203,-23.50,5.09,-45.31,51.29
12:09:10:213,-23.69,5.06,-45.41,51.47
12:09:10:223,-23.70,4.97,-45.42,51.47
12:09:10:233,-23.59,5.08,-45.20,51.24
12:09:10:253,-23.13,4.94,-45.42,51.21
12:09:10:263,-23.81,4.60,-44.79,50.93
12:09:10:273,-23.89,4.95,-45.10,51.28
12:09:10:283,-23.08,5.50,-45.30,51.14
12:09:10:303,-23.62,4.89,-45.42,51.43
12:09:10:313,-23.33,4.92,-45.63,51.48
12:09:10:323,-23.81,4.78,-45.21,51.32
12:09:10:333,-23.90,4.94,-45.63,51.74
12:09:10:353,-23.55,4.44,-45.12,51.08
12:09:10:363,-24.31,4.64,-45.53,51.82
12:09:10:373,-23.99,4.95,-45.09,51.31
12:09:10:383,-23.18,5.40,-45.09,50.99
12:09:10:403,-23.41,5.17,-45.84,51.73
12:09:10:413,-23.53,4.64,-45.01,51.00
12:09:10:423,-23.58,5.09,-44.88,50.96
12:09:10:433,-23.84,4.42,-45.12,51.22
12:09:10:453,-23.58,3.98,-45.13,51.07
12:09:10:463,-23.53,4.64,-44.90,50.90
12:09:10:473,-23.74,4.60,-45.53,51.55
12:09:10:483,-23.85,5.51,-45.08,51.30
12:09:10:503,-23.22,5.03,-45.42,51.26
12:09:10:513,-23.92,4.67,-45.42,51.55
12:09:10:523,-23.69,4.90,-44.47,50.62
12:09:10:533,-23.51,4.90,-45.10,51.10
12:09:10:553,-23.33,5.00,-45.63,51.49
12:09:10:563,-23.86,5.40,-45.73,51.86
12:09:10:573,-23.36,5.48,-44.98,50.98
12:09:10:583,-23.58,5.26,-45.30,51.34
12:09:10:603,-23.81,4.60,-44.90,51.03
12:09:10:613,-23.69,4.98,-45.10,51.19
12:09:10:623,-23.31,5.20,-45.63,51.50
12:09:10:633,-24.12,4.56,-45.42,51.63
12:09:10:653,-24.00,4.86,-45.10,51.32
12:09:10:663,-23.39,5.11,-44.77,50.77
12:09:10:673,-23.80,4.88,-44.99,51.13
12:09:10:683,-24.39,4.72,-44.88,51.30
12:09:10:703,-23.77,5.34,-44.98,51.15
12:09:10:713,-23.52,4.73,-44.79,50.81
12:09:10:723,-23.51,4.90,-45.21,51.20
12:09:10:733,-23.73,4.70,-45.32,51.37
12:09:10:753,-23.61,4.99,-45.20,51.24
12:09:10:763,-23.74,4.25,-44.59,50.70
12:09:10:773,-23.58,5.26,-45.52,51.53
12:09:10:783,-23.92,4.67,-45.32,51.46
12:09:10:803,-23.36,4.55,-45.64,51.47
12:09:10:813,-23.81,4.95,-45.95,51.99
12:09:10:823,-24.00,4.77,-44.68,50.94
12:09:10:833,-23.46,4.36,-45.23,51.13
12:09:10:853,-24.00,4.86,-45.20,51.41
12:09:10:863,-23.51,4.90,-45.21,51.20
12:09:10:873,-23.18,5.39,-45.20,51.08
12:09:10:883,-23.58,5.09,-44.88,50.96
12:09:10:903,-23.66,4.60,-46.18,52.09
12:09:10:913,-23.80,4.88,-45.10,51.23
12:09:10:923,-24.20,4.73,-45.31,51.59
12:09:10:933,-24.07,5.11,-45.30,51.55
12:09:10:953,-23.69,4.98,-44.99,51.09
12:09:10:963,-23.34,4.73,-45.43,51.30
12:09:10:973,-23.48,5.18,-45.09,51.10
12:09:10:983,-23.48,5.10,-44.77,50.82
12:09:11:003,-23.48,5.18,-45.09,51.10
12:09:11:013,-23.51,5.00,-45.20,51.19
12:09:11:023,-23.63,4.54,-44.80,50.85
12:09:11:033,-23.33,4.92,-45.42,51.30
12:09:11:053,-23.88,4.97,-44.68,50.90
12:09:11:063,-24.03,4.48,-45.64,51.78
12:09:11:073,-23.23,4.93,-45.31,51.16
12:09:11:083,-23.58,5.17,-45.09,51.15
12:09:11:103,-23.56,4.44,-45.54,51.47
12:09:11:113,-23.35,4.65,-45.43,51.29
12:09:11:123,-23.29,5.12,-44.68,50.64
12:09:11:133,-23.61,5.06,-45.84,51.81
12:09:11:153,-23.58,5.26,-45.52,51.53
12:09:11:163,-23.89,5.22,-45.84,51.95
12:09:11:173,-23.36,5.48,-44.87,50.89
12:09:11:183,-23.53,4.72,-45.32,51.29
12:09:11:203,-23.62,4.81,-44.99,51.04
12:09:11:213,-23.40,4.93,-44.68,50.67
12:09:11:223,-23.83,4.51,-44.69,50.84
