# tool=multi_record
# schema_version=2
# sensors=accelerometer|linear_acceleration|gyroscope|barometer|magnetometer|light|orientation|gps
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Altitude (m),
0.060970,0.0164,0.0329,1.0004,-0.0188,0.0075,-0.0038,-0.0009,0.0012,-0.0000,905.6483,-22.7774,4.5140,-45.4328,24.8225,75.6365,-1.9353,1.0309,0.00000000,0.00000000,0.00000000,0.00000000,
0.160803,0.0170,0.0347,0.9995,-0.0218,0.0053,-0.0024,0.0007,0.0004,-0.0009,905.6573,-22.7530,4.9776,-45.8476,24.8225,75.6369,-1.9348,1.0317,0.00000000,0.00000000,0.00000000,0.00000000,
0.260876,0.0170,0.0332,1.0006,-0.0195,0.0143,0.0083,0.0005,-0.0018,0.0002,905.6547,-21.3988,6.5636,-46.9822,24.8225,75.6372,-1.9350,1.0311,0.00000000,0.00000000,0.00000000,0.00000000,
0.361942,0.0178,0.0336,0.9976,-0.0184,-0.0067,0.0001,0.0000,0.0000,-0.0003,905.6628,-23.0336,5.0386,-45.4206,24.8225,75.6379,-1.9343,1.0319,0.00000000,0.00000000,0.00000000,0.00000000,
0.462160,0.0163,0.0327,0.9994,-0.0278,0.0208,-0.0103,-0.0002,-0.0005,-0.0011,905.6633,-22.4602,5.1850,-46.1648,24.8225,75.6377,-1.9344,1.0328,0.00000000,0.00000000,0.00000000,0.00000000,
0.562834,0.0171,0.0346,0.9983,-0.0140,0.0036,-0.0113,-0.0012,0.0008,0.0006,905.6718,-22.4114,5.7340,-46.3600,24.8225,75.6379,-1.9336,1.0328,0.00000000,0.00000000,0.00000000,0.00000000,
0.662803,0.0172,0.0341,0.9985,-0.0253,0.0097,-0.0219,0.0000,0.0004,-0.0003,905.6706,-21.8990,6.4172,-46.9822,24.8225,75.6381,-1.9336,1.0328,0.00000000,0.00000000,0.00000000,0.00000000,
0.763034,0.0171,0.0328,0.9988,-0.0184,0.0119,-0.0081,-0.0015,0.0011,-0.0010,905.6749,-21.3012,6.4050,-46.2380,24.8225,75.6388,-1.9328,1.0326,0.00000000,0.00000000,0.00000000,0.00000000,
0.863150,0.0150,0.0341,0.9983,-0.0231,0.0190,-0.0155,-0.0013,0.0010,-0.0004,905.6686,-21.7038,6.2708,-46.2380,24.8225,75.6391,-1.9305,1.0336,0.00000000,0.00000000,0.00000000,0.00000000,
0.963415,0.0166,0.0343,0.9974,-0.0257,0.0209,-0.0216,-0.0006,-0.0007,-0.0003,905.6802,-21.8136,6.0756,-46.1404,24.8225,75.6375,-1.9292,1.0337,0.00000000,0.00000000,0.00000000,0.00000000,
