# tool=multi_record
# schema_version=2
# sensors=accelerometer|linear_acceleration|gyroscope|barometer|magnetometer|light|orientation|gps
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Altitude (m),
0.056011,0.0359,0.0954,0.9982,0.0195,-0.0186,0.0062,0.0015,-0.0024,0.0003,905.7994,-21.1548,-17.2020,57.3278,16.9912,134.2853,-5.6359,2.1487,0.00000000,0.00000000,0.00000000,0.00000000,
0.155911,0.0400,0.1055,0.9899,0.0046,-0.0268,0.0127,0.0003,0.0041,0.0003,905.7931,-21.0572,-16.0064,57.3522,16.9912,134.2861,-5.6354,2.1489,0.00000000,0.00000000,0.00000000,0.00000000,
0.255957,0.0353,0.1088,0.9929,0.0297,-0.0084,-0.0208,-0.0018,0.0017,-0.0011,905.7858,-21.1548,-15.6770,55.8882,16.9912,134.2866,-5.6358,2.1482,0.00000000,0.00000000,0.00000000,0.00000000,
0.356367,0.0315,0.1057,0.9949,0.0130,0.0265,-0.0612,-0.0025,-0.0035,-0.0006,905.7717,-21.5574,-15.3842,54.1924,16.9912,134.2881,-5.6363,2.1469,0.00000000,0.00000000,0.00000000,0.00000000,
0.456918,0.0341,0.1052,0.9975,-0.0012,0.0315,-0.0193,-0.0021,-0.0038,-0.0002,905.7695,-21.1304,-16.8482,56.9130,16.9912,134.2896,-5.6368,2.1461,0.00000000,0.00000000,0.00000000,0.00000000,
0.557363,0.0372,0.0974,0.9981,-0.0076,0.0616,-0.0171,-0.0009,-0.0038,0.0007,905.7650,-22.2162,-16.3724,54.1680,16.9912,134.2902,-5.6368,2.1456,0.00000000,0.00000000,0.00000000,0.00000000,
0.657328,0.0373,0.0945,0.9977,0.0010,0.0377,-0.0471,0.0026,0.0033,0.0004,905.7567,-22.8872,-17.8852,55.1928,16.9912,134.2910,-5.6360,2.1459,0.00000000,0.00000000,0.00000000,0.00000000,
0.757718,0.0370,0.0957,0.9938,-0.0064,0.0496,-0.0446,0.0035,0.0053,0.0007,905.7521,-22.8628,-19.3126,57.1692,16.9912,134.2920,-5.6380,2.1462,0.00000000,0.00000000,0.00000000,0.00000000,
0.857927,0.0361,0.1007,0.9872,-0.0004,0.0436,-0.0158,0.0000,0.0043,-0.0001,905.7465,-21.5086,-15.7624,53.4360,16.9912,134.2900,-5.6391,2.1458,0.00000000,0.00000000,0.00000000,0.00000000,
0.958408,0.0356,0.0982,0.9887,-0.0021,0.0011,0.0143,0.0027,0.0057,-0.0014,905.7434,-22.4724,-18.7392,55.8028,16.9912,134.2907,-5.6403,2.1462,0.00000000,0.00000000,0.00000000,0.00000000,
1.058428,0.0345,0.1059,0.9908,-0.0051,-0.0133,0.0170,-0.0038,-0.0016,0.0005,905.7415,-22.8994,-20.1056,58.7430,16.9912,134.2915,-5.6422,2.1467,0.00000000,0.00000000,0.00000000,0.00000000,
