# tool=multi_record
# schema_version=2
# sensors=accelerometer|linear_acceleration|gyroscope|magnetometer|orientation|gps
# Inertial correction: sensor=g_force; operation=add; unit=m/s^2; x=-0.10726921; y=-0.2757522; z=0.038988113
# Inertial correction: sensor=linear_acceleration; operation=add; unit=m/s^2; x=0.0; y=0.0; z=0.0
# Inertial correction: sensor=gyroscope; operation=add; unit=rad/s; x=0.0; y=0.0; z=0.0
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Altitude (m),
0.069131,-0.0888,0.4718,0.9337,0.9943,0.9328,0.3391,0.5407,-0.4748,-0.1631,6.6246,-8.1618,-48.9830,12.1768,-24.0062,-11.3450,0.00000000,0.00000000,0.00000000,0.00000000,
0.169266,-0.2143,0.4652,0.7305,-0.2240,0.6856,-1.4672,0.0427,0.0217,0.1240,5.0630,-10.7116,-49.1538,12.3628,-26.1392,-10.5103,0.00000000,0.00000000,0.00000000,0.00000000,
0.269517,-0.2552,0.6093,0.9296,-1.3204,2.2766,0.0830,-0.5821,0.3015,0.9496,4.8556,-8.3570,-49.8248,9.3565,-24.1566,-8.9404,0.00000000,0.00000000,0.00000000,0.00000000,
0.370089,-0.1253,0.5931,0.8322,-0.0684,1.5267,-0.6304,0.7507,-0.0132,0.6249,3.4648,-11.3460,-49.5808,5.7803,-28.3876,-6.6261,0.00000000,0.00000000,0.00000000,0.00000000,
0.471199,-0.1879,0.6636,1.0158,-0.3691,1.2552,1.3954,-0.3429,1.1477,0.4463,5.5510,-13.2004,-48.4828,2.0685,-33.2290,-7.5935,0.00000000,0.00000000,0.00000000,0.00000000,
0.570318,-0.2245,0.4678,0.9889,-0.3519,-0.2361,2.0802,0.3570,0.2007,0.3233,9.8820,-11.9316,-48.5926,357.0106,-32.3363,-10.0937,0.00000000,0.00000000,0.00000000,0.00000000,
0.670361,-0.0517,0.3567,0.9317,0.2149,-1.1584,0.6668,-0.4641,-0.0415,1.5062,7.2346,-13.6762,-48.8366,355.1750,-31.7772,-8.3763,0.00000000,0.00000000,0.00000000,0.00000000,
0.771947,0.2244,0.4027,0.6618,2.6586,-0.7886,-1.9909,0.3141,-0.0248,1.1351,6.3196,-14.7498,-47.4702,348.3257,-30.7859,-2.4315,0.00000000,0.00000000,0.00000000,0.00000000,
0.871108,0.1567,0.4263,0.5872,1.5572,-0.7780,-2.5064,0.2569,0.1394,0.3656,3.4892,-16.4212,-47.3970,344.8223,-32.2538,0.5545,0.00000000,0.00000000,0.00000000,0.00000000,
0.971595,0.1929,0.5048,0.9280,1.6888,0.2928,0.4729,-0.9538,-0.1059,-0.1149,3.8552,-15.1280,-48.8488,343.8134,-30.4242,1.4638,0.00000000,0.00000000,0.00000000,0.00000000,
1.071940,0.1944,0.4865,1.2936,1.8955,0.9675,3.5859,-1.1077,-0.0077,-0.0952,5.0142,-10.1626,-49.2392,343.9515,-24.6694,0.1987,0.00000000,0.00000000,0.00000000,0.00000000,
1.172091,0.1800,0.3906,0.9581,1.9503,0.4643,0.4205,0.4086,0.1416,0.0041,5.8072,-7.3444,-49.8004,344.0898,-21.6527,-0.6076,0.00000000,0.00000000,0.00000000,0.00000000,
1.272649,-0.0292,0.3948,0.4419,-0.1114,0.1945,-4.9497,-0.0918,-0.0412,-0.1589,5.1362,-9.7966,-49.5442,344.9519,-24.2065,0.2121,0.00000000,0.00000000,0.00000000,0.00000000,
1.372829,-0.1047,0.4817,0.7315,-0.7465,1.0719,-2.0234,-0.1976,0.2068,-0.1047,6.0146,-8.5034,-49.3124,345.1575,-23.5755,-0.3598,0.00000000,0.00000000,0.00000000,0.00000000,
1.472656,-0.1270,0.5424,0.9921,-0.6345,1.4317,0.7173,-0.3564,0.1776,0.2508,7.0150,-6.6734,-49.6906,344.1579,-25.4962,-3.3071,0.00000000,0.00000000,0.00000000,0.00000000,
1.573276,-0.0172,0.3062,1.3799,0.4735,-0.2836,4.1912,-0.5594,-0.0753,0.5105,7.6616,-3.4892,-49.4954,341.9359,-22.3033,-2.5947,0.00000000,0.00000000,0.00000000,0.00000000,
1.673221,0.1018,0.2681,1.0742,0.9344,-0.7899,1.5131,0.0784,-0.0478,1.1042,6.6002,-4.5262,-50.4714,337.7258,-22.2801,-0.1450,0.00000000,0.00000000,0.00000000,0.00000000,
1.773380,0.0656,0.2060,0.7901,0.5083,-1.1203,-1.2636,0.1953,0.3797,0.9036,8.4180,-4.6116,-50.2762,331.6256,-20.4506,1.6291,0.00000000,0.00000000,0.00000000,0.00000000,
1.873551,0.2529,0.3024,0.8000,1.9148,-0.4617,-1.3590,0.0304,-0.4659,0.3153,7.4054,-6.8930,-48.8488,327.7263,-22.3328,3.7516,0.00000000,0.00000000,0.00000000,0.00000000,
