# tool=multi_record
# schema_version=2
# sensors=accelerometer|linear_acceleration|gyroscope|magnetometer|gps
# Inertial correction: sensor=g_force; operation=add; unit=m/s^2; x=-0.10726921; y=-0.2757522; z=0.038988113
# Inertial correction: sensor=linear_acceleration; operation=add; unit=m/s^2; x=0.0; y=0.0; z=0.0
# Inertial correction: sensor=gyroscope; operation=add; unit=rad/s; x=0.0; y=0.0; z=0.0
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Latitude,Longitude,Speed (m/s),Altitude (m),
0.078376,0.1106,0.2571,0.8570,-0.0061,-0.0134,-0.0573,0.4432,0.4119,0.6734,12.9198,-15.3232,-42.1266,0.00000000,0.00000000,0.00000000,0.00000000,
0.178357,0.0756,0.2757,0.8249,0.1371,0.7123,-1.9069,-0.2705,0.1724,-0.0802,14.1398,-17.0190,-41.4434,0.00000000,0.00000000,0.00000000,0.00000000,
0.278610,0.0430,0.2476,0.9687,-0.2034,0.0641,0.0166,0.2883,0.0774,-0.1021,14.6278,-16.8726,-41.6508,0.00000000,0.00000000,0.00000000,0.00000000,
0.378848,0.0296,0.2369,1.1053,0.0036,0.4425,0.9132,-0.0144,0.0226,-0.2508,14.7010,-15.8722,-42.0534,0.00000000,0.00000000,0.00000000,0.00000000,
0.479028,0.1258,0.1911,1.0795,0.5937,-0.3302,1.5973,0.1385,0.0476,-0.1573,16.0064,-15.2744,-41.8338,0.00000000,0.00000000,0.00000000,0.00000000,
0.579616,0.0545,0.2408,0.8709,0.4510,-0.1115,-0.4987,0.0087,0.0720,-0.0824,16.4700,-14.5668,-40.8578,0.00000000,0.00000000,0.00000000,0.00000000,
0.679723,0.0205,0.2549,0.7695,0.0366,0.3015,-2.1397,-0.1351,0.0921,-0.1793,17.3484,-15.4818,-41.0042,0.00000000,0.00000000,0.00000000,0.00000000,
0.780180,0.0640,0.2538,0.9478,0.5418,0.4583,-0.9450,-0.0589,0.1376,-0.1861,17.7266,-14.2496,-41.2848,0.00000000,0.00000000,0.00000000,0.00000000,
0.880338,0.1037,0.2544,1.1123,0.7954,0.4846,0.9540,0.0933,-0.0338,-0.1778,18.1414,-14.0178,-40.7480,0.00000000,0.00000000,0.00000000,0.00000000,
0.980645,-0.0579,0.1705,1.1561,0.8501,0.0324,2.1652,0.0842,-0.0598,-0.3852,19.2760,-13.2492,-39.9916,0.00000000,0.00000000,0.00000000,0.00000000,
