# tool=multi_record
# schema_version=2
# sensors=accelerometer|linear_acceleration|gyroscope|barometer|magnetometer|light|orientation|gps
# Inertial correction: sensor=g_force; operation=add; unit=m/s^2; x=-0.10726921; y=-0.2757522; z=0.038988113
# Inertial correction: sensor=linear_acceleration; operation=add; unit=m/s^2; x=0.0; y=0.0; z=0.0
# Inertial correction: sensor=gyroscope; operation=add; unit=rad/s; x=0.0; y=0.0; z=0.0
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Altitude (m),
0.068826,0.0468,0.5014,0.7149,0.4383,-0.5935,-1.0901,0.3071,-0.0560,0.3010,908.3549,2.4278,-14.4814,-50.4104,5362.0747,352.3889,-36.3167,-0.0790,0.00000000,0.00000000,0.00000000,0.00000000,
0.168468,-0.0033,0.6463,0.5200,-0.0061,0.1718,-2.3564,0.6448,-0.2540,-0.4072,908.3298,1.6592,-18.3000,-49.5564,5362.0747,352.5308,-40.7613,0.2994,0.00000000,0.00000000,0.00000000,0.00000000,
0.268508,0.1163,0.6327,0.8887,1.0344,0.3349,0.9910,-0.4183,-0.5960,-0.4204,908.4218,0.4026,-17.2386,-49.3124,5362.0747,356.2034,-39.5261,0.8547,0.00000000,0.00000000,0.00000000,0.00000000,
0.368977,0.1801,0.6721,0.8869,1.5407,0.8290,0.8082,-0.4218,-0.7497,-0.1405,908.3854,-2.2570,-16.9702,-49.1782,5362.0747,359.1147,-37.9711,1.6845,0.00000000,0.00000000,0.00000000,0.00000000,
0.469229,-0.0201,0.5199,0.5870,-0.3314,-0.4236,-2.1226,0.1212,0.2897,-0.0752,908.3070,-2.7694,-14.7498,-49.9590,5362.0747,0.7761,-36.3493,1.8418,0.00000000,0.00000000,0.00000000,0.00000000,
0.569253,-0.0028,0.5944,0.6482,-0.2849,0.4495,-1.7883,-0.7089,-0.4845,-0.2878,908.1984,-3.1598,-13.5298,-50.6544,5362.0747,1.8183,-35.2080,2.5617,0.00000000,0.00000000,0.00000000,0.00000000,
0.669489,0.0472,0.6078,0.9265,-0.0033,0.8627,0.8377,0.3128,-0.1680,0.0642,908.3023,-4.6848,-12.2122,-50.2884,5362.0747,4.1711,-33.2861,3.4072,0.00000000,0.00000000,0.00000000,0.00000000,
0.769698,0.0831,0.6673,0.9330,0.3145,1.0256,1.1451,0.1740,0.1431,0.0772,908.3445,-5.2338,-14.0300,-51.0814,4041.2437,4.8504,-36.1823,3.6928,0.00000000,0.00000000,0.00000000,0.00000000,
0.869737,0.0859,0.4493,1.0184,0.2160,-0.9932,2.1133,0.7341,-0.2461,0.7105,908.3866,-4.9044,-13.7006,-50.4348,4041.2437,2.8252,-35.7290,4.4774,0.00000000,0.00000000,0.00000000,0.00000000,
0.969902,-0.1272,0.5140,0.7794,-2.4165,-0.6835,-0.1668,-0.0937,0.5331,0.7022,908.1997,-8.3082,-16.8848,-49.4466,4041.2437,1.1543,-37.5914,7.8763,0.00000000,0.00000000,0.00000000,0.00000000,
