# sensor:magnetometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
16:20:50:375,16.26,1.29,-47.60,50.32
16:20:50:385,16.25,1.38,-48.03,50.72
16:20:50:395,15.37,1.28,-48.46,50.85
16:20:50:405,14.98,1.15,-48.24,50.52
16:20:50:415,14.80,1.22,-48.24,50.47
16:20:50:425,13.52,0.90,-48.24,50.11
16:20:50:435,13.33,1.06,-48.54,50.35
16:20:50:445,12.60,1.45,-48.32,49.96
16:20:50:455,12.76,1.18,-48.97,50.62
16:20:50:465,12.72,0.63,-48.56,50.20
16:20:50:475,12.97,1.21,-48.43,50.15
16:20:50:485,12.90,0.55,-49.30,50.96
16:20:50:495,12.83,0.82,-48.87,50.54
16:20:50:505,12.68,0.24,-49.31,50.92
16:20:50:515,13.85,0.38,-48.90,50.82
16:20:50:525,13.69,-0.29,-49.45,51.31
16:20:50:535,13.58,-0.65,-48.60,50.47
16:20:50:545,13.85,0.46,-49.10,51.02
16:20:50:555,13.80,-0.18,-49.23,51.12
16:20:50:565,14.02,-0.05,-48.37,50.36
16:20:50:575,14.21,0.23,-49.32,51.33
16:20:50:585,14.29,0.89,-48.46,50.53
16:20:50:595,15.54,0.93,-48.46,50.90
16:20:50:605,14.90,1.50,-48.87,51.11
16:20:50:615,14.31,1.17,-48.34,50.42
16:20:50:625,14.14,1.43,-48.54,50.58
16:20:50:635,14.16,0.60,-48.68,50.70
16:20:50:645,14.23,1.26,-48.34,50.40
16:20:50:655,13.88,0.59,-48.03,50.00
16:20:50:665,14.44,0.62,-48.79,50.89
16:20:50:675,14.36,0.54,-48.25,50.35
16:20:50:685,14.25,0.43,-48.58,50.63
16:20:50:695,13.99,-0.33,-48.39,50.37
16:20:50:705,13.59,-0.56,-48.60,50.47
16:20:50:715,14.18,-0.49,-48.18,50.22
16:20:50:725,14.23,-0.94,-48.51,50.56
16:20:50:735,14.47,-0.38,-48.70,50.81
16:20:50:745,14.18,-0.40,-48.81,50.83
16:20:50:755,14.16,-0.41,-49.02,51.03
16:20:50:765,14.30,-0.11,-48.48,50.55
16:20:50:775,14.47,-0.20,-49.13,51.22
16:20:50:785,14.19,-0.22,-48.70,50.73
16:20:50:795,14.68,-0.17,-48.70,50.87
16:20:50:805,14.04,-0.96,-48.51,50.51
16:20:50:815,14.25,-0.76,-48.29,50.35
16:20:50:825,13.71,-1.37,-48.52,50.44
16:20:50:835,14.10,-1.33,-48.63,50.65
16:20:50:845,13.24,-1.15,-49.04,50.81
16:20:50:855,13.52,-1.39,-48.95,50.80
16:20:50:865,13.58,-1.83,-48.42,50.32
16:20:50:875,13.71,-1.20,-49.15,51.04
16:20:50:885,12.96,-2.28,-48.96,50.70
16:20:50:895,12.96,-2.27,-48.86,50.60
16:20:50:905,13.37,-1.96,-48.96,50.79
16:20:50:915,13.81,-1.27,-48.95,50.87
16:20:50:925,14.31,-1.29,-48.20,50.30
16:20:50:935,14.19,-1.32,-48.95,50.98
16:20:50:945,14.19,-1.32,-48.84,50.87
16:20:50:955,13.92,-1.26,-48.62,50.59
16:20:50:965,13.92,-1.16,-48.52,50.49
16:20:50:975,14.12,-1.31,-47.88,49.94
16:20:50:985,14.08,-1.70,-48.42,50.46
16:20:50:995,14.29,-1.39,-48.52,50.60
16:20:51:005,14.90,-1.05,-48.30,50.56
16:20:51:015,14.60,-1.17,-48.31,50.48
16:20:51:025,15.07,-0.48,-47.45,49.78
16:20:51:035,14.76,-0.43,-48.07,50.29
16:20:51:045,15.14,-0.39,-48.49,50.80
16:20:51:055,15.88,-0.68,-48.62,51.15
16:20:51:065,15.74,-0.23,-48.18,50.68
16:20:51:075,16.04,-0.01,-48.07,50.67
16:20:51:085,16.06,0.26,-48.39,50.98
16:20:51:095,15.57,-0.06,-47.86,50.33
16:20:51:105,15.25,-0.28,-48.07,50.43
16:20:51:115,15.57,0.11,-48.28,50.72
16:20:51:125,15.59,0.31,-48.06,50.52
16:20:51:135,15.75,0.04,-48.59,51.08
16:20:51:145,15.01,0.59,-49.21,51.46
16:20:51:155,15.01,0.32,-48.69,50.95
16:20:51:165,14.47,-0.37,-48.29,50.41
16:20:51:175,14.53,0.45,-49.01,51.12
16:20:51:185,13.64,-1.01,-48.82,50.70
16:20:51:195,14.01,-0.15,-48.59,50.57
