# tool=multi_record
# schema_version=2
# sensors=accelerometer|linear_acceleration|gyroscope|barometer|magnetometer|light|orientation|gps
# Inertial correction: sensor=g_force; operation=add; unit=m/s^2; x=-0.10726921; y=-0.2757522; z=0.038988113
# Inertial correction: sensor=linear_acceleration; operation=add; unit=m/s^2; x=0.0; y=0.0; z=0.0
# Inertial correction: sensor=gyroscope; operation=add; unit=rad/s; x=0.0; y=0.0; z=0.0
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Altitude (m),
0.045271,0.0152,0.3661,0.9705,-0.8842,-0.1190,0.5571,-0.2112,0.6538,0.0711,901.1732,-11.9560,-25.0954,-51.6670,93206.5703,120.9094,-24.1213,7.0973,0.00000000,0.00000000,0.00000000,0.00000000,
0.145301,-0.1082,0.3156,0.9862,-1.7895,-1.0293,0.8860,0.6078,0.2198,0.0128,901.2326,-9.4184,-27.0108,-50.9960,93206.5703,119.8137,-26.3470,5.3156,0.00000000,0.00000000,0.00000000,0.00000000,
0.245526,-0.1182,0.2312,1.3034,-1.8232,-1.6677,3.8997,-0.2203,-0.1567,0.2955,901.3583,-9.5770,-26.7424,-50.6666,93206.5703,119.0436,-25.6883,4.2885,0.00000000,0.00000000,0.00000000,0.00000000,
0.345588,-0.0705,0.2676,0.9474,-1.0851,-1.2231,0.4311,0.1203,0.4171,-0.0767,901.2961,-10.2846,-27.0962,-50.9838,93206.5703,117.4676,-25.6974,3.7195,0.00000000,0.00000000,0.00000000,0.00000000,
0.446178,0.0213,0.2524,0.5058,-1.0333,-1.7585,-3.1957,0.2156,-1.1495,0.1986,901.0363,-10.8824,-29.0604,-49.3490,93206.5703,118.9034,-27.7295,4.7011,0.00000000,0.00000000,0.00000000,0.00000000,
0.546369,-0.1557,0.3611,0.8135,-2.1151,0.1518,-0.2494,-0.1410,-0.1762,-0.3602,901.0484,-16.1284,-26.3032,-48.9098,93206.5703,121.0911,-24.9478,9.4257,0.00000000,0.00000000,0.00000000,0.00000000,
0.646712,-0.0050,0.4080,0.9930,-1.2266,0.7237,0.5813,-0.2119,0.4130,-0.0072,900.9797,-16.4212,-26.2544,-49.5320,93206.5703,120.5315,-23.7862,9.5112,0.00000000,0.00000000,0.00000000,0.00000000,
0.746918,0.0605,0.3463,1.1019,-0.7589,0.7623,1.6714,-0.7202,-0.1274,0.0146,901.0406,-14.3350,-23.6924,-51.0692,93206.5703,117.9987,-21.4105,6.4618,0.00000000,0.00000000,0.00000000,0.00000000,
0.846861,0.1924,0.1506,1.1558,0.2509,-1.3174,3.1314,0.3707,-0.8218,0.1007,901.1349,-16.7262,-21.2036,-51.5084,93206.5703,119.1162,-18.4346,9.7252,0.00000000,0.00000000,0.00000000,0.00000000,
0.947057,0.0490,0.2664,0.5932,-0.9334,-0.0724,-2.6123,-0.1083,0.1739,-0.0875,901.1132,-19.1296,-21.3622,-50.8618,93206.5703,119.1088,-17.5326,12.6166,0.00000000,0.00000000,0.00000000,0.00000000,
1.047354,-0.0648,0.2509,0.4805,-2.4722,0.2293,-5.1869,0.0146,-0.8813,-0.3311,901.1066,-18.8734,-21.6916,-50.8740,93206.5703,120.0424,-16.9936,12.1978,0.00000000,0.00000000,0.00000000,0.00000000,
1.147821,0.0297,0.4792,0.7411,-2.1141,1.4408,-1.9235,0.2197,-0.0111,0.2737,901.3070,-21.8380,-22.1552,-49.1660,93206.5703,121.2888,-18.9555,15.9333,0.00000000,0.00000000,0.00000000,0.00000000,
1.247735,0.1626,0.4638,1.1471,-0.9892,1.4286,2.6364,-0.1087,-0.1355,0.6873,901.9554,-21.9966,-20.4350,-49.1050,93206.5703,119.1889,-20.0117,14.5502,0.00000000,0.00000000,0.00000000,960.79998779,
1.348078,0.3583,0.5744,2.1105,0.6857,3.8287,9.4228,-0.5170,0.1413,0.1185,901.8204,-22.2284,-17.2630,-49.5442,93206.5703,116.4471,-15.9987,14.5869,46.89628440,-114.03530460,0.00000000,960.79998779,
1.447857,0.1276,0.9604,1.4966,-0.6801,6.7324,4.0209,0.6928,-0.9628,0.2041,900.9576,-21.0450,-21.0450,-47.6532,93206.5703,113.5799,-22.5193,12.9353,46.89628440,-114.03530460,0.00000000,960.79998779,
1.548263,0.0418,0.3094,0.7663,-1.6074,0.0513,-1.1232,-1.4558,0.7636,0.3599,900.9111,-22.3992,-21.0084,-47.9582,93206.5703,111.8625,-22.8543,11.8323,46.89628440,-114.03530460,0.00000000,960.79998779,
1.648390,0.2225,-0.3655,0.1455,0.3769,-6.5739,-7.3036,1.3570,0.0456,0.3228,900.9446,-21.4110,-18.0926,-49.1538,93206.5703,109.4422,-18.9142,11.3006,46.89628440,-114.03530460,0.00000000,960.79998779,
1.748765,0.4756,-0.3042,0.3323,2.1616,-6.9773,-6.0688,0.4064,-0.2922,-0.5139,900.9531,-23.0946,-23.4118,-45.0546,93206.5703,110.7019,-26.5979,13.5527,46.89628440,-114.03530460,0.00000000,960.79998779,
1.848844,1.0586,0.7480,2.1745,7.3577,3.6349,10.8023,-2.3818,-2.8049,-0.6950,901.0579,-26.8888,-24.7660,-42.2974,93206.5703,115.1284,-28.7206,19.1053,46.89628440,-114.03530460,0.00000000,960.79998779,
1.948997,0.0888,0.8009,0.3617,-3.5618,4.5806,-4.1796,-1.6355,-1.4995,-0.5058,901.1733,-33.2206,-18.8368,-41.7606,93206.5703,123.4326,-26.2042,27.4557,46.89628440,-114.03530460,0.00000000,960.79998779,
2.049342,-0.4740,0.4240,0.6557,-8.7810,0.6027,-2.0762,0.4539,0.6242,0.0183,901.0408,-30.0242,-17.6534,-45.2498,93206.5703,127.6005,-21.3634,19.2392,46.89628440,-114.03530460,0.00000000,960.79998779,
2.149457,0.0808,0.5828,2.0377,-2.4841,1.3359,10.8818,2.3830,1.5536,0.2847,901.0684,-31.0368,-20.9230,-43.7492,93206.5703,125.8934,-28.2110,17.5267,46.89628440,-114.03530460,0.00000000,960.79998779,
2.249573,1.1187,0.4238,1.7332,9.0827,-0.5023,11.8083,0.8950,1.3944,1.1913,901.1563,-29.1092,-27.6208,-40.8822,52458.4258,114.8009,-40.6547,13.8224,46.89628440,-114.03530460,0.00000000,960.79998779,
2.350313,0.2262,-0.5676,0.6281,0.3968,-9.5793,-4.0721,-1.3251,-1.1601,1.3218,901.1367,-24.9978,-21.0206,-48.3608,52458.4258,100.8617,-30.9610,9.5825,46.89628440,-114.03530460,0.00000000,960.79998779,
2.450411,0.7879,-0.2139,-0.3716,4.1607,-4.8329,-12.1615,0.4809,-0.5253,-0.4849,901.0842,-29.4508,-21.1548,-45.1522,52458.4258,94.6236,-21.4346,19.5426,46.89628440,-114.03530460,0.00000000,960.79998779,
2.551191,1.2444,0.2215,1.8674,6.3043,-0.4755,5.9211,-2.4184,-2.6620,-1.6874,901.2153,-28.2186,-22.3138,-46.0428,52458.4258,105.1965,-18.1279,23.0524,46.89628440,-114.03530460,0.00000000,960.79998779,
2.650582,-0.1483,0.9651,0.3775,-8.1194,7.5369,-3.3533,-1.4481,-1.6972,0.1428,901.2095,-37.0758,-17.8730,-41.5898,52458.4258,117.8822,-14.6256,38.6119,46.89628440,-114.03530460,0.00000000,960.79998779,
2.750759,-0.6557,0.4862,0.9715,-12.4187,1.8004,0.7110,0.4608,0.0404,0.0410,901.1931,-35.9412,-16.4090,-43.4686,52458.4258,128.0389,-19.8240,30.5725,46.89628440,-114.03530460,0.00000000,960.79998779,
2.851082,-0.0251,0.6318,2.0553,-4.0238,2.1023,13.3281,3.4287,3.5160,-0.3572,901.2347,-34.7334,-23.3874,-41.6630,52458.4258,127.5261,-29.4617,27.6113,46.89628440,-114.03530460,0.00000000,960.79998779,
2.952200,0.7706,-0.1985,1.6188,5.7677,-6.6408,10.0725,-1.1660,2.9755,0.5352,901.2934,-29.9754,-28.9018,-40.6992,52458.4258,115.2327,-37.3436,20.2724,46.89628440,-114.03530460,0.00000000,960.79998779,
3.052316,0.3192,-0.5668,0.7641,-0.2575,-8.2970,-1.3437,0.5248,-1.9876,1.8056,901.1550,-28.8286,-20.9596,-47.9094,52458.4258,101.8642,-17.8380,19.3410,46.89628440,-114.03530460,0.00000000,960.79998779,
3.152779,0.6214,-0.3304,-0.3093,1.6850,-5.5889,-11.8176,-1.3259,-0.7258,-0.8519,901.1100,-35.5386,-20.1056,-42.4194,52458.4258,98.2398,-19.7087,27.8320,46.89628440,-114.03530460,0.00000000,959.32171631,
3.253036,1.7590,0.2953,1.4197,11.5648,0.7883,4.5618,-2.0108,-2.6109,-1.1624,901.1635,-36.3682,-20.1544,-40.6016,52458.4258,107.9798,-15.7771,32.4011,46.89650290,-114.03491200,3.36128950,959.32171631,
3.353224,-0.1580,0.9108,0.3520,-9.1683,7.9287,-2.6310,-1.0755,-1.6817,0.2248,901.2727,-42.0290,-16.1284,-37.8932,52458.4258,120.0404,-13.8821,42.7862,46.89650290,-114.03491200,3.36128950,959.32171631,
3.453305,-0.3614,0.6557,0.6352,-7.2059,1.5333,-2.2884,0.3719,1.7799,-0.1465,901.2047,-41.1018,-15.8844,-40.0160,52458.4258,134.1570,-34.4408,18.1677,46.89650290,-114.03491200,3.36128950,959.32171631,
3.553663,0.4249,0.7247,1.9451,2.8304,0.7480,12.1562,3.1774,3.2245,-0.7411,901.2751,-38.4178,-21.1548,-38.4910,52458.4258,131.9908,-43.7636,10.7879,46.89650290,-114.03491200,3.36128950,959.32171631,
3.654093,0.9513,-0.2354,1.5653,9.6809,-9.4322,9.4529,-0.3966,1.3048,1.3893,901.3177,-28.8408,-24.6318,-43.9810,52458.4258,113.7082,-49.9723,1.3586,46.89650290,-114.03491200,3.36128950,959.32171631,
3.754390,0.3986,-0.3703,0.6087,3.4701,-10.0641,-0.9803,1.6092,-1.0627,2.0816,901.1900,-26.7180,-18.2878,-49.5442,52458.4258,102.8056,-43.5548,3.7308,46.89650290,-114.03491200,3.36128950,959.32171631,
3.854793,0.5875,-0.2160,0.7734,4.9168,-8.8122,-0.4500,-1.0224,0.0650,-1.3840,901.1426,-29.8290,-20.3252,-47.9826,52458.4258,99.0888,-49.5749,7.4530,46.89650290,-114.03491200,3.36128950,959.32171631,
3.955559,0.1108,1.0267,-0.0193,1.0899,1.6974,-3.8689,0.8723,-1.4496,-0.6027,901.2719,-28.6090,-26.1812,-44.9814,52458.4258,103.0122,-54.3947,5.5311,46.89650290,-114.03491200,3.36128950,959.32171631,
4.055900,0.0371,0.6522,0.2045,-1.2480,-0.9193,-2.5982,0.5432,1.3040,-0.1796,901.2278,-32.9278,-19.8982,-46.2502,52458.4258,109.1596,-48.2794,11.8775,46.89650290,-114.03491200,3.36128950,959.32171631,
4.155891,0.1065,0.2891,0.7926,-0.0903,-3.5843,1.0418,-0.0443,1.4737,-1.0446,901.1236,-32.1836,-21.4598,-46.0916,52458.4258,111.1568,-47.8562,9.5668,46.89650290,-114.03491200,3.36128950,959.32171631,
4.256149,-0.1087,0.4948,2.3367,-0.2657,-1.9298,17.5313,2.1048,1.2556,-1.3044,901.2275,-27.7550,-30.2682,-43.4076,52458.4258,113.0136,-53.6227,2.8770,46.89650290,-114.03491200,3.36128950,959.32171631,
4.356671,0.3374,0.0468,1.3124,2.1714,-6.1051,7.6598,-1.3772,-0.5661,2.8826,901.0793,-27.9502,-28.9384,-44.3226,52458.4258,103.5457,-56.0283,4.6317,46.89650290,-114.03491200,3.36128950,959.32171631,
4.457202,0.3057,-0.1556,0.3091,0.6115,-8.3803,-2.7181,0.2104,0.0795,1.0161,901.1109,-36.3194,-20.0080,-43.0416,41092.0273,97.5257,-51.0366,18.6893,46.89650290,-114.03491200,3.36128950,959.07379150,
4.557275,0.6305,-0.1883,-0.0518,3.0054,-9.0875,-6.9881,0.0463,0.5459,-0.9900,901.1608,-33.9770,-21.6916,-43.7492,41092.0273,90.0289,-52.6683,17.4848,46.89645070,-114.03483980,4.89317226,959.07379150,
4.657793,2.2236,0.6941,2.3637,20.7240,0.1831,17.7601,-1.3592,-2.5801,-1.9714,901.1407,-36.4292,-27.3402,-38.3690,41092.0273,101.5406,-54.2722,16.6955,46.89645070,-114.03483980,4.89317226,959.07379150,
4.757772,-0.5013,0.5711,0.4349,-6.6704,-1.4077,-1.1113,0.4403,-1.9768,-0.4862,901.1151,-39.2474,-28.0966,-33.0620,41092.0273,116.8847,-54.6556,13.1491,46.89645070,-114.03483980,4.89317226,959.07379150,
4.858379,-0.5978,0.3591,0.2523,-7.5891,-4.4442,-3.7497,0.3308,0.5449,-0.5779,901.1445,-36.7220,-31.8176,-31.2808,41092.0273,118.0189,-58.6502,9.2782,46.89645070,-114.03483980,4.89317226,959.07379150,
4.958685,-0.0377,1.6572,1.6469,0.1564,7.3457,10.0391,0.6430,3.7437,-0.2034,901.1363,-30.6464,-37.3076,-31.3906,41092.0273,111.8741,-60.6258,-0.4120,46.89645070,-114.03483980,4.89317226,959.07379150,
5.058840,0.3567,-0.0840,0.3088,4.8350,-8.2441,-0.8324,0.2233,1.5112,2.4500,901.1728,-29.3288,-35.2458,-36.0022,9592.8408,96.0210,-63.2256,1.2908,46.89645070,-114.03483980,4.89317226,959.07379150,
5.159172,0.1806,-0.3954,-0.8954,-0.4062,-12.8739,-11.5722,1.4663,1.9491,1.8948,901.2198,-37.7224,-28.6456,-31.9274,9592.8408,85.5608,-72.0705,16.9925,46.89645070,-114.03483980,4.89317226,959.07379150,
5.259539,2.1039,-0.1319,1.2459,14.2005,-9.2835,7.7063,-1.5684,-1.3284,-1.5631,901.2265,-39.0644,-25.8762,-33.1108,9592.8408,81.5329,-72.9794,28.9197,46.89645070,-114.03483980,4.89317226,959.07379150,
5.359781,0.5176,1.0676,1.1684,6.0578,2.3281,10.6956,-3.1547,-0.7016,-2.5977,901.2288,-40.3942,-28.9750,-29.5850,9592.8408,98.7795,-68.9160,22.9159,46.89645070,-114.03483980,4.89317226,959.07379150,
